ticker,provider_name,source_family,attempt_status,network_used,cache_used,fetch_attempted,fetch_error_type,fetch_error_message,rows_returned,last_price_date,last_close,avg_volume_20d,avg_volume_60d,raw_cache_path
VFS,vnquant,cafef_structured_or_market,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VFS,vnquant,vndirect_market,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VDS,vnquant,cafef_structured_or_market,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VDS,vnquant,vndirect_market,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VIG,vnquant,cafef_structured_or_market,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VIG,vnquant,vndirect_market,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
TVS,vnquant,cafef_structured_or_market,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
TVS,vnquant,vndirect_market,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VRE,vnquant,cafef_structured_or_market,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VRE,vnquant,vndirect_market,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VNE,vnquant,cafef_structured_or_market,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VNE,vnquant,vndirect_market,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VOS,vnquant,cafef_structured_or_market,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VOS,vnquant,vndirect_market,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VTP,vnquant,cafef_structured_or_market,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VTP,vnquant,vndirect_market,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
TLH,vnquant,cafef_structured_or_market,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
TLH,vnquant,vndirect_market,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VIX,vietfin,unknown_brokerage_api,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VND,vietfin,unknown_brokerage_api,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VSC,vietfin,unknown_brokerage_api,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VGI,vietfin,unknown_brokerage_api,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VCG,vietfin,unknown_brokerage_api,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VNM,vietfin,unknown_brokerage_api,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
TVN,vietfin,unknown_brokerage_api,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VJC,vietfin,unknown_brokerage_api,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VTZ,vietfin,unknown_brokerage_api,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
YEG,vietfin,unknown_brokerage_api,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
VCI,vietfin,unknown_brokerage_api,FETCH_SKIPPED_NETWORK_DISABLED,False,False,False,,,0,,,,,
