ticker,step26_status,step26_missing_fields,step26_block_reasons,step28_fetch_error_type,step28_market_data_available,step28_last_price_date,step28_last_close,recovery_label
AC4,BLOCKED_INSUFFICIENT_MARKET_DATA,"[""avg_volume_20d"", ""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete.""]",SOURCE_RATE_LIMIT_OR_TIMEOUT,False,,,STILL_BLOCKED_AFTER_REFRESH
AFC,BLOCKED_INSUFFICIENT_MARKET_DATA,"[""avg_volume_20d"", ""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete.""]",SOURCE_RATE_LIMIT_OR_TIMEOUT,False,,,STILL_BLOCKED_AFTER_REFRESH
