batch_id,batch_index,ticker,ticker_index,fetch_status,fetch_error_type,attempt_count,cache_used,history_row_count,started_at,finished_at,duration_ms
batch_0001,1,A32,1,OK,OK,1,True,641,2026-06-13T03:17:32+00:00,2026-06-13T03:17:32+00:00,11
batch_0001,1,AAA,2,OK,OK,1,True,641,2026-06-13T03:17:32+00:00,2026-06-13T03:17:32+00:00,0
batch_0001,1,AAH,3,OK,OK,1,True,599,2026-06-13T03:17:32+00:00,2026-06-13T03:17:32+00:00,0
batch_0001,1,AAM,4,OK,OK,1,True,641,2026-06-13T03:17:32+00:00,2026-06-13T03:17:32+00:00,0
batch_0001,1,AAN,5,OK,OK,1,True,16,2026-06-13T03:17:32+00:00,2026-06-13T03:17:32+00:00,0
batch_0001,1,AAS,6,OK,OK,1,True,641,2026-06-13T03:17:32+00:00,2026-06-13T03:17:32+00:00,0
batch_0001,1,AAT,7,OK,OK,1,True,641,2026-06-13T03:17:32+00:00,2026-06-13T03:17:32+00:00,0
batch_0001,1,AAV,8,OK,OK,1,True,641,2026-06-13T03:17:32+00:00,2026-06-13T03:17:32+00:00,0
batch_0001,1,ABB,9,OK,OK,1,True,641,2026-06-13T03:17:32+00:00,2026-06-13T03:17:32+00:00,0
batch_0001,1,ABC,10,OK,OK,1,True,641,2026-06-13T03:17:32+00:00,2026-06-13T03:17:32+00:00,0
batch_0001,1,ABI,11,OK,OK,1,True,641,2026-06-13T03:17:32+00:00,2026-06-13T03:17:32+00:00,0
batch_0001,1,ABR,12,OK,OK,1,True,641,2026-06-13T03:17:32+00:00,2026-06-13T03:17:32+00:00,0
batch_0001,1,ABS,13,OK,OK,1,True,641,2026-06-13T03:17:32+00:00,2026-06-13T03:17:32+00:00,0
batch_0001,1,ABT,14,OK,OK,1,True,641,2026-06-13T03:17:32+00:00,2026-06-13T03:17:32+00:00,0
batch_0001,1,ABW,15,OK,OK,1,True,641,2026-06-13T03:17:32+00:00,2026-06-13T03:17:32+00:00,0
batch_0001,1,ACB,17,OK,OK,1,True,641,2026-06-13T03:17:32+00:00,2026-06-13T03:17:32+00:00,16
batch_0001,1,ACC,18,OK,OK,1,True,641,2026-06-13T03:17:32+00:00,2026-06-13T03:17:32+00:00,14
batch_0001,1,ACE,19,OK,OK,1,True,641,2026-06-13T03:17:32+00:00,2026-06-13T03:17:32+00:00,15
batch_0001,1,ACG,20,OK,OK,1,True,641,2026-06-13T03:17:32+00:00,2026-06-13T03:17:32+00:00,15
batch_0001,1,ACL,21,OK,OK,1,True,641,2026-06-13T03:17:32+00:00,2026-06-13T03:17:32+00:00,18
batch_0001,1,ACM,22,OK,OK,1,True,641,2026-06-13T03:17:32+00:00,2026-06-13T03:17:32+00:00,11
batch_0001,1,ACS,23,OK,OK,1,True,641,2026-06-13T03:17:33+00:00,2026-06-13T03:17:33+00:00,10
batch_0001,1,ACV,24,OK,OK,1,True,641,2026-06-13T03:17:33+00:00,2026-06-13T03:17:33+00:00,11
batch_0001,1,ADC,25,OK,OK,1,True,641,2026-06-13T03:17:33+00:00,2026-06-13T03:17:33+00:00,11
batch_0001,1,ADG,26,OK,OK,1,True,641,2026-06-13T03:17:33+00:00,2026-06-13T03:17:33+00:00,13
batch_0001,1,ADP,27,OK,OK,1,True,641,2026-06-13T03:17:33+00:00,2026-06-13T03:17:33+00:00,11
batch_0001,1,ADS,28,OK,OK,1,True,641,2026-06-13T03:17:33+00:00,2026-06-13T03:17:33+00:00,14
batch_0001,1,AFX,30,OK,OK,1,True,641,2026-06-13T03:17:33+00:00,2026-06-13T03:17:33+00:00,15
batch_0001,1,AC4,16,FAILED,SOURCE_RATE_LIMIT_OR_TIMEOUT,2,False,0,2026-06-13T03:19:05+00:00,2026-06-13T03:20:25+00:00,79275
batch_0001,1,AFC,29,FAILED,SOURCE_RATE_LIMIT_OR_TIMEOUT,2,False,0,2026-06-13T03:20:28+00:00,2026-06-13T03:21:37+00:00,69474
