fetch_error_type,count,example_tickers
OK,28,"[""A32"", ""AAA"", ""AAH"", ""AAM"", ""AAN"", ""AAS"", ""AAT"", ""AAV"", ""ABB"", ""ABC""]"
SOURCE_RATE_LIMIT_OR_TIMEOUT,2,"[""AC4"", ""AFC""]"
