ticker,period,period_type,source_document_type,source_url,final_url,local_path,file_hash,page_number,table_index,row_count,col_count,numeric_cell_count,numeric_cell_ratio,finance_anchor_hits,negative_keyword_hits,finance_table_score,table_status,reject_reason,table_preview
PVS,2025-Q1,quarter,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/Website_BCTC Hop nhat_QUY 1.2025-VN.pdf,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/Website_BCTC%20Hop%20nhat_QUY%201.2025-VN.pdf,data\raw\official_finance_documents\01ie\pvs_2025_q1_financial_statement_3b10ed0b1571f84b.pdf,3b10ed0b1571f84b888b03f51152d77aa52e969a629a1abbc62119a717a84c61,99,1,40,8,10,0.0426,1,0,10.5112,NON_FINANCIAL_NUMERIC_TABLE,PAGE_NOT_FINANCE_NUMERIC_CANDIDATE,(cid:1200)P (cid:264)OÀN CÔNG | NGHI(cid:1226)P – | N(cid:258)NG L(cid:1132)(cid:1254) | NG C(cid:1244)NG HÒ | A XÃ H | (cid:1244)I CH(cid:1258) NG | H(cid:428)A V | I(cid:1226)T NAM | QU(cid:1236)C | GIA VI(cid:1226)T | NAM | (cid:264)(cid:1245)c l(cid:1201)p - | T(cid:1269) do - H(cid:1189)n | h phúc | T(cid:1240)NG C | ÔNG TY C | (cid:1240) PH(cid:1194)N | D(cid:1230)CH V(cid:1256) K(cid:1274) TH
PVS,2025-Q1,quarter,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/Website_BCTC Hop nhat_QUY 1.2025-VN.pdf,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/Website_BCTC%20Hop%20nhat_QUY%201.2025-VN.pdf,data\raw\official_finance_documents\01ie\pvs_2025_q1_financial_statement_3b10ed0b1571f84b.pdf,3b10ed0b1571f84b888b03f51152d77aa52e969a629a1abbc62119a717a84c61,100,1,19,9,2,0.0192,0,0,1.2304,NON_FINANCIAL_NUMERIC_TABLE,PAGE_NOT_FINANCE_NUMERIC_CANDIDATE,Ge | neral and admi | nistra | tive expenses f | or the 1st Qua | rter | of 2025 were higher than | those | for | the s | ame period in | 2024 | due to PTSC | made provisi | on f | or doubtful debts accordi | ng to | reg
PVS,2025,annual,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/PTSC_BCTC Hop nhat nam 2024_SKT.pdf,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/PTSC_BCTC%20Hop%20nhat%20nam%202024_SKT.pdf,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_7f82e3a18a6d115b.pdf,7f82e3a18a6d115b2a412a78ec3d38a0e27528317e327a4ddc4eea61203d3b7a,94,1,44,8,10,0.0388,1,0,10.4656,NON_FINANCIAL_NUMERIC_TABLE,PAGE_NOT_FINANCE_NUMERIC_CANDIDATE,T(cid:1200)P (cid:264) | OÀN | D(cid:1194)U KHÍ | C(cid:1244)NG HÒA | XÃ H | (cid:1244)I CH(cid:1258) NGH(cid:428) | A VI | (cid:1226)T NAM | QU(cid:1236)C | GIA V | I(cid:1226)T NAM | (cid:264)(cid:1245)c | l(cid:1201)p - | T(cid:1269) do - H(cid:1189)nh p | húc | T(cid:1240)NG C | ÔNG T | Y C(cid:1240) PH(cid:1194)N
PVS,2025,annual,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/PTSC_BCTC Hop nhat nam 2024_SKT.pdf,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/PTSC_BCTC%20Hop%20nhat%20nam%202024_SKT.pdf,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_7f82e3a18a6d115b.pdf,7f82e3a18a6d115b2a412a78ec3d38a0e27528317e327a4ddc4eea61203d3b7a,95,1,36,9,12,0.0498,2,0,16.5976,NON_FINANCIAL_NUMERIC_TABLE,PAGE_NOT_FINANCE_NUMERIC_CANDIDATE,"A decrea | se of 1 | 56,94 | 4 millio | n VND, | equivalent to a | reduction o | f 11.12% com | pared to | the accumula | ted ne | t prof | it after | tax in | 2024, as repor | ted in the | consolidated | financial"
PVS,2025,annual,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/PTSC_BCTC Hop nhat nam 2024_SKT_EN.pdf,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/PTSC_BCTC%20Hop%20nhat%20nam%202024_SKT_EN.pdf,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_fb734e773d9f5ba4.pdf,fb734e773d9f5ba43472bd2a2ec42bb7c95344dbf365546136fc4cd0f774c5b7,94,1,44,8,10,0.0388,1,0,10.4656,NON_FINANCIAL_NUMERIC_TABLE,PAGE_NOT_FINANCE_NUMERIC_CANDIDATE,T(cid:1200)P (cid:264) | OÀN | D(cid:1194)U KHÍ | C(cid:1244)NG HÒA | XÃ H | (cid:1244)I CH(cid:1258) NGH(cid:428) | A VI | (cid:1226)T NAM | QU(cid:1236)C | GIA V | I(cid:1226)T NAM | (cid:264)(cid:1245)c | l(cid:1201)p - | T(cid:1269) do - H(cid:1189)nh p | húc | T(cid:1240)NG C | ÔNG T | Y C(cid:1240) PH(cid:1194)N
PVS,2025,annual,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/PTSC_BCTC Hop nhat nam 2024_SKT_EN.pdf,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/PTSC_BCTC%20Hop%20nhat%20nam%202024_SKT_EN.pdf,data\raw\official_finance_documents\01ie\pvs_2025_financial_statement_fb734e773d9f5ba4.pdf,fb734e773d9f5ba43472bd2a2ec42bb7c95344dbf365546136fc4cd0f774c5b7,95,1,36,9,12,0.0498,2,0,16.5976,NON_FINANCIAL_NUMERIC_TABLE,PAGE_NOT_FINANCE_NUMERIC_CANDIDATE,"A decrea | se of 1 | 56,94 | 4 millio | n VND, | equivalent to a | reduction o | f 11.12% com | pared to | the accumula | ted ne | t prof | it after | tax in | 2024, as repor | ted in the | consolidated | financial"
PVS,2024-Q4,quarter,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/2025 01 24_162 PTSC-BTK_CBTT dinh ky BCTC.pdf,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/2025%2001%2024_162%20PTSC-BTK_CBTT%20dinh%20ky%20BCTC.pdf,data\raw\official_finance_documents\01ie\pvs_2024_q4_financial_statement_d40fac3bef48eb45.pdf,d40fac3bef48eb45694e87183c119c7e221a14f023a1f8b45d539f32abb879ac,1,1,37,6,7,0.0429,0,0,4.0148,NON_FINANCIAL_NUMERIC_TABLE,PAGE_NOT_FINANCE_NUMERIC_CANDIDATE,TẬ | P ĐOÀN DẦU KHÍ | CỘ | NG HÒA XÃ HỘI | CHỦ NGHĨA VIỆ | T NAM | QU | ỐC GIA VIỆT NAM | Độc lập - Tự | do - Hạnh phúc | TỔNG | CÔNG TY CỔ PH | ẦN | DỊCH VỤ | KỸ THUẬT DẦU | KHÍ | VIỆT NAM | Số:
PVS,2024-Q4,quarter,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/2025 01 24_162 PTSC-BTK_CBTT dinh ky BCTC.pdf,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/2025%2001%2024_162%20PTSC-BTK_CBTT%20dinh%20ky%20BCTC.pdf,data\raw\official_finance_documents\01ie\pvs_2024_q4_financial_statement_d40fac3bef48eb45.pdf,d40fac3bef48eb45694e87183c119c7e221a14f023a1f8b45d539f32abb879ac,2,1,37,10,2,0.0082,0,0,1.0984,NON_FINANCIAL_NUMERIC_TABLE,PAGE_NOT_FINANCE_NUMERIC_CANDIDATE,- | BCTC Quý | 4/20 | 24 | - | The 4th Qua | rter | of 2024 Fi | nanci | al Sta | tements |  BCTC ri | êng | (TCNY kh | ông | có cô | ng ty con | và đơn vị
PVS,2024-Q4,quarter,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/2025 01 24_162 PTSC-BTK_CBTT dinh ky BCTC.pdf,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/2025%2001%2024_162%20PTSC-BTK_CBTT%20dinh%20ky%20BCTC.pdf,data\raw\official_finance_documents\01ie\pvs_2024_q4_financial_statement_d40fac3bef48eb45.pdf,d40fac3bef48eb45694e87183c119c7e221a14f023a1f8b45d539f32abb879ac,3,1,33,8,3,0.0183,0,0,1.7196,NON_FINANCIAL_NUMERIC_TABLE,PAGE_NOT_FINANCE_NUMERIC_CANDIDATE,T | ổng | công ty PTSC x | in cam kết | các thông tin công bố trên | đây là đúng sự thật v | h | oà | n t | oàn c | hịu trách nhiệm | trước pháp | luật về nội dung các thông | tin công bố. | W | e he | reby certify that | the inform
PVS,2024-Q4,quarter,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/2025 01 24_162 PTSC-BTK_CBTT dinh ky BCTC.pdf,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/2025%2001%2024_162%20PTSC-BTK_CBTT%20dinh%20ky%20BCTC.pdf,data\raw\official_finance_documents\01ie\pvs_2024_q4_financial_statement_d40fac3bef48eb45.pdf,d40fac3bef48eb45694e87183c119c7e221a14f023a1f8b45d539f32abb879ac,105,1,42,9,10,0.038,0,0,5.456,NON_FINANCIAL_NUMERIC_TABLE,PAGE_NOT_FINANCE_NUMERIC_CANDIDATE,T(cid:1200)P (cid:264)O | ÀN D(cid:1194)U | KHÍ | C | (cid:1244)NG HÒA | XÃ H(cid:1244)I | CH(cid:1258) NG | H(cid:428)A VI | (cid:1226)T NAM | QU(cid:1236)C GI | A VI(cid:1226)T | NAM | (cid:264)(cid:1245)c l | (cid:1201)p - T(cid:1269) | do - H(cid:1189)n | h phúc | T(cid:1240)NG CÔ | NG TY C
PVS,2024-Q4,quarter,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/2025 01 24_162 PTSC-BTK_CBTT dinh ky BCTC.pdf,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/2025%2001%2024_162%20PTSC-BTK_CBTT%20dinh%20ky%20BCTC.pdf,data\raw\official_finance_documents\01ie\pvs_2024_q4_financial_statement_d40fac3bef48eb45.pdf,d40fac3bef48eb45694e87183c119c7e221a14f023a1f8b45d539f32abb879ac,106,1,23,10,5,0.0305,0,0,2.866,NON_FINANCIAL_NUMERIC_TABLE,PAGE_NOT_FINANCE_NUMERIC_CANDIDATE,"The pro | fit sha | ring from | associate | s and | joint | ven | tures con | solidated i | n financial | statements in | the 4th | Quarter o | f 2024, wa | s higher | than | in th | e 4th Quar"
PVS,2026-Q1,quarter,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/657 PTSC-BTK.pdf,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/657%20PTSC-BTK.pdf,data\raw\official_finance_documents\01ie\pvs_2026_q1_financial_statement_3531bd73b2406e28.pdf,3531bd73b2406e28342e6cf44fb9a355d19fbdebccaa93e9d24a5fd746d65ca4,1,1,50,8,10,0.0366,0,0,5.4392,NON_FINANCIAL_NUMERIC_TABLE,PAGE_NOT_FINANCE_NUMERIC_CANDIDATE,ẬP | ĐOÀN CÔNG | NGH | IỆP – NĂNG | LƯỢNG C | ỘNG HÒA XÃ | HỘI CHỦ | NGHĨA VIỆT NAM | QUỐC | GIA V | IỆT NAM | Độc lập | - Tự do | - Hạnh phúc | TỔNG CÔ | NG T | Y CỔ PHẦ | N
PVS,2026,annual,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/2026 03 19_363 PTSC-BTK_CBTT BCTC Cty me Nam 2025.pdf,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/2026%2003%2019_363%20PTSC-BTK_CBTT%20BCTC%20Cty%20me%20Nam%202025.pdf,data\raw\official_finance_documents\01ie\pvs_2026_financial_statement_8fad86b624a21068.pdf,8fad86b624a21068ec158cd3a21c36a2f0eb381df4b85f2ab17cc38027b4b9d5,1,1,40,8,5,0.0229,0,0,2.7748,NON_FINANCIAL_NUMERIC_TABLE,PAGE_NOT_FINANCE_NUMERIC_CANDIDATE,TẬ | P ĐOÀN CÔNG NGHI | ỆP – N | ĂNG LƯỢN | G CỘNG H | ÒA XÃ HỘI C | HỦ NGH | ĨA VIỆT NA | QUỐC GIA VI | ỆT N | AM | Đ | ộc lập - Tự d | o - Hạnh | phúc | TỔNG CÔNG T | Y CỔ | PHẦN
PVS,2026,annual,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/2026 03 19_363 PTSC-BTK_CBTT BCTC Cty me Nam 2025.pdf,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/2026%2003%2019_363%20PTSC-BTK_CBTT%20BCTC%20Cty%20me%20Nam%202025.pdf,data\raw\official_finance_documents\01ie\pvs_2026_financial_statement_8fad86b624a21068.pdf,8fad86b624a21068ec158cd3a21c36a2f0eb381df4b85f2ab17cc38027b4b9d5,2,1,24,8,3,0.0261,0,0,1.8132,NON_FINANCIAL_NUMERIC_TABLE,PAGE_NOT_FINANCE_NUMERIC_CANDIDATE,Chún | g tôi xi | n cam kết | các thôn | g tin công bố trên | đây là | đúng sự thật và hoà | n toàn | chịu trách | nhiệm t | rước pháp | luật về n | ội dung các thông | tin đã | công bố/ We hereby | certify | that the inf | ormati
PVS,2025-Q2,quarter,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/1246 PTSC-BTK.pdf,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/1246%20PTSC-BTK.pdf,data\raw\official_finance_documents\01ie\pvs_2025_q2_financial_statement_e143fbeef6f75523.pdf,e143fbeef6f755233b7d897423ff1506455599cd121aea748a52182d88cb534a,76,1,41,9,12,0.0441,1,0,11.5292,NON_FINANCIAL_NUMERIC_TABLE,PAGE_NOT_FINANCE_NUMERIC_CANDIDATE,QU(cid:1236)C | GIA | VI(cid:1226)T NAM | (cid:264)(cid:1245) | c l(cid:1201)p - | T(cid:1269) do - | H(cid:1189)nh ph | úc | T(cid:1240)NG CÔ | NG | TY C(cid:1240) PH(cid:1194) | N | D(cid:1230)CH V(cid:1256) K(cid:1274) THU | (cid:1200)T | D(cid:1194)U KHÍ VI | (cid:1226)T NAM | S(cid:1237): 1 2 4 3 /PT | SC-
PVS,2025-Q2,quarter,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/1246 PTSC-BTK.pdf,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/1246%20PTSC-BTK.pdf,data\raw\official_finance_documents\01ie\pvs_2025_q2_financial_statement_e143fbeef6f75523.pdf,e143fbeef6f755233b7d897423ff1506455599cd121aea748a52182d88cb534a,77,1,12,5,1,0.025,0,0,0.8,NON_FINANCIAL_NUMERIC_TABLE,PAGE_NOT_FINANCE_NUMERIC_CANDIDATE,"T(cid:1241)n | g công ty | C(cid:1241) ph(cid:1195)n D(cid:1231)c | h v(cid:1257) K(cid:1275) thu(cid:1201)t D(cid:1195)u k | hí Vi(cid:1227)t Nam | Petr | oVietnam | Technical Se | rvices Corporation | respectfully | N(cid:751)i nh(cid:821) | n: | KT. | - Nh(cid:1133) t | rên; | PHÓ | - BKS, | H(cid:264)QT;"
PVS,2025-Q1,quarter,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/Webiste_BCTC Cong ty me_QUY 1.2025-VN.pdf,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/Webiste_BCTC%20Cong%20ty%20me_QUY%201.2025-VN.pdf,data\raw\official_finance_documents\01ie\pvs_2025_q1_financial_statement_9e2a19b66c316531.pdf,9e2a19b66c316531fbd7618db4a1b8f8a76dbcfcfaba7b433d0c5adcc9aea9f0,78,1,43,8,14,0.0556,1,0,12.6672,NON_FINANCIAL_NUMERIC_TABLE,PAGE_NOT_FINANCE_NUMERIC_CANDIDATE,T(cid:1200)P (cid:264) | OÀN CÔNG NGH | I(cid:1226)P – N(cid:258)NG | L(cid:1132)(cid:1254)NG C(cid:1244) | NG HÒA X | Ã H(cid:1244)I | CH(cid:1258) NGH(cid:428)A | VI(cid:1226)T NA | QU(cid:1236)C GIA | VI(cid:1226)T NAM | (cid:264)(cid:1245)c l | (cid:1201)p - T(cid:1269) | do - H(cid:1189)nh phú | c | T(cid:1240)NG CÔNG | TY C(cid:1240) PH(cid:1194)N | D(cid:1230)CH | V(cid:1256) K(cid:1274) THU(cid:1200)T
PVS,2025-Q1,quarter,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/Webiste_BCTC Cong ty me_QUY 1.2025-VN.pdf,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/Webiste_BCTC%20Cong%20ty%20me_QUY%201.2025-VN.pdf,data\raw\official_finance_documents\01ie\pvs_2025_q1_financial_statement_9e2a19b66c316531.pdf,9e2a19b66c316531fbd7618db4a1b8f8a76dbcfcfaba7b433d0c5adcc9aea9f0,79,1,18,9,3,0.0265,0,0,1.818,NON_FINANCIAL_NUMERIC_TABLE,PAGE_NOT_FINANCE_NUMERIC_CANDIDATE,"higher than t | hat of | the | 1st Q | u | arter of | 2024, specifically as follo | ws: (1) Financial | income from | profits and d | ividen | ds | distri | b | uted fro | m subsidiaries and joint | ventures to the C | orporation in"
