ticker,period,document_type,source_url,issue,manual_review_required,priority,notes
NLG,2025-Q2,financial_statement,https://www.namlongvn.com/uploads/2025/07/20250725-nlg-cbtt-bao-cao-tai-chinh-quy-2-2025-rieng-en.pdf,REVIEW_ONLY_STANDALONE,True,high,STANDALONE_REVIEW_REQUIRED
PVS,2026-Q1,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/657 PTSC-BTK.pdf,REVIEW_ONLY_STANDALONE,True,high,STANDALONE_REVIEW_REQUIRED
NLG,2025,financial_statement,https://www.namlongvn.com/uploads/2025/08/20250804-nlg-bao-cao-soat-xet-ban-nien-2025-rieng-en.pdf,REVIEW_ONLY_STANDALONE,True,high,STANDALONE_REVIEW_REQUIRED
PVS,2025-Q2,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/1246 PTSC-BTK.pdf,REVIEW_ONLY_STANDALONE,True,high,STANDALONE_REVIEW_REQUIRED
NLG,2025-Q1,financial_statement,https://www.namlongvn.com/uploads/assets/files/Cong-bo-thong-tin/Bao-cao-tai-chinh/20250424-nlg-cbtt-bao-cao-tai-chinh-quy-1-nam-2025-hop-nhat-en.pdf,SKIPPED_OLD_PERIOD,True,low,PERIOD_OUTSIDE_TARGETS
NLG,2026,financial_statement,https://www.namlongvn.com/uploads/2026/03/20260318-NLG-CBTT-Bao-cao-tai-chinh-nam-2025-da-kiem-toan-Hop-nhat-EN.pdf,SKIPPED_OLD_PERIOD,True,low,PERIOD_OUTSIDE_TARGETS
PVS,2024-Q4,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/2025 01 24_162 PTSC-BTK_CBTT dinh ky BCTC.pdf,SKIPPED_OLD_PERIOD,True,low,PERIOD_OUTSIDE_TARGETS
PVS,2025-Q1,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/Website_BCTC Hop nhat_QUY 1.2025-VN.pdf,SKIPPED_OLD_PERIOD,True,low,PERIOD_OUTSIDE_TARGETS
SSI,2026,financial_statement,https://www.ssi.com.vn/upload/files/IR/20260327_SSI_Bao_cao_tai_chinh_hop_nhat_nam_2025_da_kiem_toan.pdf,SKIPPED_OLD_PERIOD,True,low,PERIOD_OUTSIDE_TARGETS
NLG,2026,financial_statement,https://www.namlongvn.com/uploads/2026/04/NLG-AGM-2026-Nam-Long-highlights-in-2025-Audited-consolidated-financial-reports-2025.pdf,SKIPPED_OLD_PERIOD,True,low,PERIOD_OUTSIDE_TARGETS
PVS,2026,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/397 PTSC-BTK.pdf,SKIPPED_OLD_PERIOD,True,low,PERIOD_OUTSIDE_TARGETS
HSG,2026,financial_statement,https://hoasengroup.vn/vi/bai-viet/hsg-bao-cao-tai-chinh-hop-nhat-va-giai-trinh-kqkd-hop-nhat-giua-nien-do-ndtc-2025-2026-da-soat-xet/,SKIPPED_UNSUPPORTED_FILE_TYPE,True,low,UNSUPPORTED_FILE_TYPE:html;SOURCE_BLOCKED_OR_JS_REQUIRED
VGC,2026,annual_report,https://cdn.viglacera.com.vn/storage/documents/quan-he-co-dong/bao-cao-thuong-nien/bctc-hop-nhat-va-giai-trinh-q-i-2026.pdf,SKIPPED_OLD_PERIOD,True,low,PERIOD_OUTSIDE_TARGETS
VGC,2026,annual_report,https://cdn.viglacera.com.vn/storage/documents/quan-he-co-dong/bao-cao-thuong-nien/consolidated-financial-statements-and-explaination-q-i-2026.pdf,SKIPPED_OLD_PERIOD,True,low,PERIOD_OUTSIDE_TARGETS
FPT,2026,annual_report,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2026/april/bctn-2025.pdf,SKIPPED_OLD_PERIOD,True,low,PERIOD_OUTSIDE_TARGETS
FPT,2026,annual_report,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2026/april/bctn-fpt-2025.pdf,SKIPPED_OLD_PERIOD,True,low,PERIOD_OUTSIDE_TARGETS
FPT,2026,annual_report,https://bctn2025.fpt.com/wp-content/uploads/2026/04/BAO-CAO-ESG_VI_02042026.pdf,SKIPPED_OLD_PERIOD,True,low,PERIOD_OUTSIDE_TARGETS
FPT,2026,annual_report,https://bctn2025.fpt.com/wp-content/uploads/2026/04/BCTN-2025.pdf,SKIPPED_OLD_PERIOD,True,low,PERIOD_OUTSIDE_TARGETS
NLG,2025-Q1,financial_statement,https://www.namlongvn.com/uploads/assets/files/Cong-bo-thong-tin/Bao-cao-tai-chinh/20250424-nlg-cbtt-bao-cao-tai-chinh-quy-1-nam-2025-rieng-en.pdf,SKIPPED_OLD_PERIOD,True,low,PERIOD_OUTSIDE_TARGETS;STANDALONE_REVIEW_REQUIRED
NLG,2026,financial_statement,https://www.namlongvn.com/uploads/2026/03/20260318-NLG-CBTT-Bao-cao-tai-chinh-nam-2025-da-kiem-toan-Rieng-EN.pdf,SKIPPED_OLD_PERIOD,True,low,PERIOD_OUTSIDE_TARGETS;STANDALONE_REVIEW_REQUIRED
PVS,2024-Q4,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/2025 01 24_161 PTSC-BTK_CBTT Bao cao tai chinh Cong ty me Quy 4 2024.pdf,SKIPPED_OLD_PERIOD,True,low,PERIOD_OUTSIDE_TARGETS;STANDALONE_REVIEW_REQUIRED
PVS,2025-Q1,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/Webiste_BCTC Cong ty me_QUY 1.2025-VN.pdf,SKIPPED_OLD_PERIOD,True,low,PERIOD_OUTSIDE_TARGETS;STANDALONE_REVIEW_REQUIRED
PVS,2026,financial_statement,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/2026 03 19_363 PTSC-BTK_CBTT BCTC Cty me Nam 2025.pdf,SKIPPED_OLD_PERIOD,True,low,PERIOD_OUTSIDE_TARGETS;STANDALONE_REVIEW_REQUIRED
SSI,2026,financial_statement,https://www.ssi.com.vn/upload/files/IR/20260327_SSI_Bao_cao_tai_chinh_rieng_nam_2025_da_kiem_toan.pdf,SKIPPED_OLD_PERIOD,True,low,PERIOD_OUTSIDE_TARGETS;STANDALONE_REVIEW_REQUIRED
FPT,2026-Q1,,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2026/april/20260424---fpt---bctc-hop-nhat-quy-1-nam-2026.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
NLG,2026-Q1,,https://www.namlongvn.com/uploads/2026/04/20260424-NLG-Bao-cao-tai-chinh-Q1.2026-Hop-nhat-EN.pdf,DOCUMENT_NOT_TEXT_EXTRACTABLE,True,high,NO_TEXT_EXTRACTED_NO_OCR
NLG,2026-Q1,,https://www.namlongvn.com/uploads/2026/04/20260424-NLG-Bao-cao-tai-chinh-Q1.2026-Hop-nhat-EN.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
SSI,2026-Q1,,https://www.ssi.com.vn/upload/files/IR/20260423_SSI_Bao_cao_tai_chinh_hop_nhat_Quy_1_nam_2026.pdf,DOCUMENT_NOT_TEXT_EXTRACTABLE,True,high,NO_TEXT_EXTRACTED_NO_OCR
SSI,2026-Q1,,https://www.ssi.com.vn/upload/files/IR/20260423_SSI_Bao_cao_tai_chinh_hop_nhat_Quy_1_nam_2026.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
PVS,2026-Q1,,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/658 PTSC-BTK.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
NLG,2026,,https://www.namlongvn.com/uploads/2026/03/20260318-NLG-CBTT-Bao-cao-tai-chinh-nam-2025-da-kiem-toan-Hop-nhat-EN.pdf,DOCUMENT_NOT_TEXT_EXTRACTABLE,True,high,NO_TEXT_EXTRACTED_NO_OCR
NLG,2026,,https://www.namlongvn.com/uploads/2026/03/20260318-NLG-CBTT-Bao-cao-tai-chinh-nam-2025-da-kiem-toan-Hop-nhat-EN.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
SSI,2026,,https://www.ssi.com.vn/upload/files/IR/20260327_SSI_Bao_cao_tai_chinh_hop_nhat_nam_2025_da_kiem_toan.pdf,DOCUMENT_NOT_TEXT_EXTRACTABLE,True,high,NO_TEXT_EXTRACTED_NO_OCR
SSI,2026,,https://www.ssi.com.vn/upload/files/IR/20260327_SSI_Bao_cao_tai_chinh_hop_nhat_nam_2025_da_kiem_toan.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
PVS,2026,,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/397 PTSC-BTK.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
NLG,2025-Q4,,https://www.namlongvn.com/uploads/2026/01/20260129-NLG-CBTT-Bao-cao-tai-chinh-Quy-4.2025-Hop-nhat-EN.pdf,DOCUMENT_NOT_TEXT_EXTRACTABLE,True,high,NO_TEXT_EXTRACTED_NO_OCR
