ticker,source_html_url,source_html_local_path,official_domain,depth1_url,depth1_domain,anchor_text,file_extension,document_type_guess,period_guess,score,download_attempted,download_status,local_path,file_hash,manual_review_required,reason,notes
FPT,https://bctn2025.fpt.com/vi/,data\raw\official_finance_documents\01ie\fpt_2025_annual_report_e2c0d86df374c6b1.html,fpt.com,https://bctn2025.fpt.com/wp-content/uploads/2026/04/BAO-CAO-ESG_VI_02042026.pdf,bctn2025.fpt.com,Báo cáo ESG,pdf,annual_report,2026,100,True,DEPTH1_DOCUMENT_DOWNLOADED,data\raw\official_finance_documents\01ie\fpt_2026_annual_report_38af0c1ef98f1884.pdf,38af0c1ef98f188438c5414bca58bac5f776f302997858a2dbc62af3b755335c,False,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;ANNUAL_REPORT_KEYWORD_MATCH;TARGET_YEAR_OR_QUARTER_MATCH;DOCUMENT_FILE_EXTENSION;SOURCE_HTML_SNAPSHOT_SAVED;PERIOD_NOT_EXACT_TARGET_REVIEW,01IE_DEPTH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET
FPT,https://bctn2025.fpt.com/vi/,data\raw\official_finance_documents\01ie\fpt_2025_annual_report_e2c0d86df374c6b1.html,fpt.com,https://bctn2025.fpt.com/wp-content/uploads/2026/04/BCTN-2025.pdf,bctn2025.fpt.com,BCTN 2025,pdf,annual_report,2026,100,True,DEPTH1_DOCUMENT_DOWNLOADED,data\raw\official_finance_documents\01ie\fpt_2026_annual_report_9449a7251d126b63.pdf,9449a7251d126b635988974dbc72c2773c7fff39f4e5e858b5f7d3928b4e0e6c,False,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;ANNUAL_REPORT_KEYWORD_MATCH;TARGET_YEAR_OR_QUARTER_MATCH;DOCUMENT_FILE_EXTENSION;SOURCE_HTML_SNAPSHOT_SAVED;PERIOD_NOT_EXACT_TARGET_REVIEW,01IE_DEPTH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET
FPT,https://bctn2025.fpt.com/vi/,data\raw\official_finance_documents\01ie\fpt_2025_annual_report_e2c0d86df374c6b1.html,fpt.com,https://bctn2025.fpt.com/bao-cao-esg/hoat-dong-vi-moi-truong-xanh/,bctn2025.fpt.com,Hoạt động vì môi trường xanh,html,annual_report,2025,79,True,HTML_SNAPSHOT_SAVED,data\raw\official_finance_documents\01ie\fpt_2025_annual_report_8803dfbeb9384029.html,8803dfbeb9384029f9769b153d87eea5fdd4e4693bfdd67d7e2ba4f291cdd8ba,True,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;ANNUAL_REPORT_KEYWORD_MATCH;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_HTML_SNAPSHOT_SAVED;FILE_TYPE_UNCONFIRMED_REVIEW,01IE_DEPTH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET
FPT,https://bctn2025.fpt.com/vi/,data\raw\official_finance_documents\01ie\fpt_2025_annual_report_e2c0d86df374c6b1.html,fpt.com,https://bctn2025.fpt.com/bao-cao-esg/moi-truong-lam-viec-dang-cap-hanh-phuc/,bctn2025.fpt.com,"Môi trường làm việc đẳng cấp, hạnh phúc",html,annual_report,2025,79,False,,,,True,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;ANNUAL_REPORT_KEYWORD_MATCH;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_HTML_SNAPSHOT_SAVED;FILE_TYPE_UNCONFIRMED_REVIEW,01IE_DEPTH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET
FPT,https://bctn2025.fpt.com/vi/,data\raw\official_finance_documents\01ie\fpt_2025_annual_report_e2c0d86df374c6b1.html,fpt.com,https://bctn2025.fpt.com/bao-cao-esg/quan-tri-huong-den-phat-trien-ben-vung/,bctn2025.fpt.com,Quản trị hướng đến phát triển bền vững,html,annual_report,2025,79,False,,,,True,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;ANNUAL_REPORT_KEYWORD_MATCH;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_HTML_SNAPSHOT_SAVED;FILE_TYPE_UNCONFIRMED_REVIEW,01IE_DEPTH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET
FPT,https://bctn2025.fpt.com/vi/,data\raw\official_finance_documents\01ie\fpt_2025_annual_report_e2c0d86df374c6b1.html,fpt.com,https://bctn2025.fpt.com/bao-cao-esg/song-hanh-vi-su-phat-trien-cong-dong/,bctn2025.fpt.com,Song hành vì sự phát triển cộng đồng,html,annual_report,2025,79,False,,,,True,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;ANNUAL_REPORT_KEYWORD_MATCH;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_HTML_SNAPSHOT_SAVED;FILE_TYPE_UNCONFIRMED_REVIEW,01IE_DEPTH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET
FPT,https://bctn2025.fpt.com/vi/,data\raw\official_finance_documents\01ie\fpt_2025_annual_report_e2c0d86df374c6b1.html,fpt.com,https://bctn2025.fpt.com/bao-cao-esg/thong-diep-dinh-huong-esg/,bctn2025.fpt.com,Thông điệp và định hướng ESG,html,annual_report,2025,79,False,,,,True,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;ANNUAL_REPORT_KEYWORD_MATCH;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_HTML_SNAPSHOT_SAVED;FILE_TYPE_UNCONFIRMED_REVIEW,01IE_DEPTH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET
FPT,https://bctn2025.fpt.com/vi/,data\raw\official_finance_documents\01ie\fpt_2025_annual_report_e2c0d86df374c6b1.html,fpt.com,https://bctn2025.fpt.com/chien-luoc-phat-trien/boi-canh-chung/,bctn2025.fpt.com,Bối cảnh chung,html,annual_report,2025,79,False,,,,True,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;ANNUAL_REPORT_KEYWORD_MATCH;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_HTML_SNAPSHOT_SAVED;FILE_TYPE_UNCONFIRMED_REVIEW,01IE_DEPTH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET
FPT,https://bctn2025.fpt.com/vi/,data\raw\official_finance_documents\01ie\fpt_2025_annual_report_e2c0d86df374c6b1.html,fpt.com,https://bctn2025.fpt.com/chien-luoc-phat-trien/chien-luoc-phat-chien-giai-doan-2026-2028/,bctn2025.fpt.com,Chiến lược phát triển giai đoạn 2026 - 2028,html,annual_report,2026,79,False,,,,True,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;ANNUAL_REPORT_KEYWORD_MATCH;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_HTML_SNAPSHOT_SAVED;FILE_TYPE_UNCONFIRMED_REVIEW;PERIOD_NOT_EXACT_TARGET_REVIEW,01IE_DEPTH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET
FPT,https://bctn2025.fpt.com/vi/,data\raw\official_finance_documents\01ie\fpt_2025_annual_report_e2c0d86df374c6b1.html,fpt.com,https://bctn2025.fpt.com/dau-an-2025/con-so-noi-bat/,bctn2025.fpt.com,Con số nổi bật,html,annual_report,2025,79,False,,,,True,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;ANNUAL_REPORT_KEYWORD_MATCH;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_HTML_SNAPSHOT_SAVED;FILE_TYPE_UNCONFIRMED_REVIEW,01IE_DEPTH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET
