ticker,exchange,company_name,period,document_type,source_type,source_name,source_url,official_domain,candidate_origin,candidate_score,candidate_score_band,expected_file_type,consolidated_status,final_url,http_status,content_type,detected_file_type,local_path,file_hash,downloaded_at,download_status,document_confidence,manual_review_required,review_reason,notes
FPT,HOSE,FPT Corporation,2026-Q1,financial_statement,company_ir,FPT investor relations EN 01ID_PATCH1 candidate,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2026/april/20260424---fpt---bctc-hop-nhat-quy-1-nam-2026.pdf,fpt.com,REFINED_SEED_DIRECT,79,REVIEWABLE_CANDIDATE,pdf,consolidated,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2026/april/20260424---fpt---bctc-hop-nhat-quy-1-nam-2026.pdf,200,application/pdf,pdf,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,2026-06-06T13:13:05+00:00,DOWNLOADED,high,False,,"01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS and official domain checked, finance numbers not parsed; document saved; no finance values parsed in 01I-B; 01IE_DOCUMENT_FILE_DOWNLOADED_NOT_FINANCE_EVIDENCE"
KDH,HOSE,Khang Dien,2026-Q1,financial_statement,company_ir,Khang Dien financial statements 01ID_PATCH1 candidate,https://www.khangdien.com.vn/wp-content/uploads/2026/04/20260429-kdh-bctc-hop-nhat-q12026-giai-trinh-trong-tm-sign.pdf,khangdien.com.vn,REFINED_SEED_DIRECT,79,REVIEWABLE_CANDIDATE,pdf,consolidated,https://www.khangdien.com.vn/wp-content/uploads/2026/04/20260429-kdh-bctc-hop-nhat-q12026-giai-trinh-trong-tm-sign.pdf,200,application/pdf,pdf,data\raw\official_finance_documents\01ie\kdh_2026_q1_financial_statement_d2fe8d8130ad6e4a.pdf,d2fe8d8130ad6e4acc6dfd1f23352aba2af0411dcdc245ee9c89c7a9088f93d2,2026-06-06T13:13:09+00:00,DOWNLOADED,high,False,,"01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS and official domain checked, finance numbers not parsed; document saved; no finance values parsed in 01I-B; 01IE_DOCUMENT_FILE_DOWNLOADED_NOT_FINANCE_EVIDENCE"
NLG,HOSE,Nam Long,2026-Q1,financial_statement,company_ir,Nam Long financial reports 01ID_PATCH1 candidate,https://www.namlongvn.com/uploads/2026/04/20260424-NLG-Bao-cao-tai-chinh-Q1.2026-Hop-nhat-EN.pdf,namlongvn.com,REFINED_SEED_DIRECT,79,REVIEWABLE_CANDIDATE,pdf,consolidated,https://www.namlongvn.com/uploads/2026/04/20260424-NLG-Bao-cao-tai-chinh-Q1.2026-Hop-nhat-EN.pdf/,200,application/pdf,pdf,data\raw\official_finance_documents\01ie\nlg_2026_q1_financial_statement_7502785c759011a5.pdf,7502785c759011a50ed9e34288d2ff4555d15f3cde60c2695fedb35221a08233,2026-06-06T13:13:12+00:00,DOWNLOADED,high,False,,"01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS and official domain checked, finance numbers not parsed; document saved; no finance values parsed in 01I-B; 01IE_DOCUMENT_FILE_DOWNLOADED_NOT_FINANCE_EVIDENCE"
PVS,HNX,PTSC,2026-Q1,financial_statement,company_ir,PTSC financial statements 01ID_PATCH1 candidate,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/658 PTSC-BTK.pdf,ptsc.com.vn,REFINED_SEED_DIRECT,79,REVIEWABLE_CANDIDATE,pdf,consolidated,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/658%20PTSC-BTK.pdf,200,application/pdf,pdf,data\raw\official_finance_documents\01ie\pvs_2026_q1_financial_statement_163b34a26aa6ccc7.pdf,163b34a26aa6ccc732ee81f04ce116457ab7c375094f231c2cbc2f66093c091e,2026-06-06T13:13:17+00:00,DOWNLOADED,high,False,,"01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS and official domain checked, finance numbers not parsed; document saved; no finance values parsed in 01I-B; 01IE_DOCUMENT_FILE_DOWNLOADED_NOT_FINANCE_EVIDENCE"
SSI,HOSE,SSI Securities,2026-Q1,financial_statement,company_ir,SSI financial statements 01ID_PATCH1 candidate,https://www.ssi.com.vn/upload/files/IR/20260423_SSI_Bao_cao_tai_chinh_hop_nhat_Quy_1_nam_2026.pdf,ssi.com.vn,REFINED_SEED_DIRECT,79,REVIEWABLE_CANDIDATE,pdf,consolidated,https://www.ssi.com.vn/upload/files/IR/20260423_SSI_Bao_cao_tai_chinh_hop_nhat_Quy_1_nam_2026.pdf,200,application/pdf,pdf,data\raw\official_finance_documents\01ie\ssi_2026_q1_financial_statement_be5e66907904207a.pdf,be5e66907904207a2eabf7189b6bd3b94f31712019b20a1d377b12762cb7e462,2026-06-06T13:13:21+00:00,DOWNLOADED,high,False,,"01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS and official domain checked, finance numbers not parsed; document saved; no finance values parsed in 01I-B; 01IE_DOCUMENT_FILE_DOWNLOADED_NOT_FINANCE_EVIDENCE"
NLG,HOSE,Nam Long,2025-Q4,financial_statement,company_ir,Nam Long financial reports 01ID_PATCH1 candidate,https://www.namlongvn.com/uploads/2026/01/20260129-NLG-CBTT-Bao-cao-tai-chinh-Quy-4.2025-Hop-nhat-EN.pdf,namlongvn.com,REFINED_SEED_DIRECT,79,REVIEWABLE_CANDIDATE,pdf,consolidated,https://www.namlongvn.com/uploads/2026/01/20260129-NLG-CBTT-Bao-cao-tai-chinh-Quy-4.2025-Hop-nhat-EN.pdf/,200,application/pdf,pdf,data\raw\official_finance_documents\01ie\nlg_2025_q4_financial_statement_dc2f591d86825eb6.pdf,dc2f591d86825eb6a725b08147bf4e26c047f858f599d57108da4c73738c2268,2026-06-06T13:13:25+00:00,DOWNLOADED,high,False,,"01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS and official domain checked, finance numbers not parsed; document saved; no finance values parsed in 01I-B; 01IE_DOCUMENT_FILE_DOWNLOADED_NOT_FINANCE_EVIDENCE"
PVS,HNX,PTSC,2025-Q4,financial_statement,company_ir,PTSC financial statements 01ID_PATCH1 candidate,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/BCTC Hop nhat Q4 2025_web.pdf,ptsc.com.vn,REFINED_SEED_DIRECT,79,REVIEWABLE_CANDIDATE,pdf,consolidated,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/BCTC%20Hop%20nhat%20Q4%202025_web.pdf,200,application/pdf,pdf,data\raw\official_finance_documents\01ie\pvs_2025_q4_financial_statement_37e86358f3dcdfe4.pdf,37e86358f3dcdfe45fc887f401edd21e4f0f9b27f531451e04c6c3592f108fa4,2026-06-06T13:13:29+00:00,DOWNLOADED,high,False,,"01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS and official domain checked, finance numbers not parsed; document saved; no finance values parsed in 01I-B; 01IE_DOCUMENT_FILE_DOWNLOADED_NOT_FINANCE_EVIDENCE"
SSI,HOSE,SSI Securities,2025-Q4,financial_statement,company_ir,SSI financial statements 01ID_PATCH1 candidate,https://www.ssi.com.vn/upload/files/IR/20260130_SSI_Bao_cao_tai_chinh_hop_nhat_Quy_4_nam_2025.pdf,ssi.com.vn,REFINED_SEED_DIRECT,79,REVIEWABLE_CANDIDATE,pdf,consolidated,https://www.ssi.com.vn/upload/files/IR/20260130_SSI_Bao_cao_tai_chinh_hop_nhat_Quy_4_nam_2025.pdf,200,application/pdf,pdf,data\raw\official_finance_documents\01ie\ssi_2025_q4_financial_statement_8e274d934023ff51.pdf,8e274d934023ff5129a99729f181b75df47dafda50ee26d831979466ae432d22,2026-06-06T13:13:32+00:00,DOWNLOADED,high,False,,"01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS and official domain checked, finance numbers not parsed; document saved; no finance values parsed in 01I-B; 01IE_DOCUMENT_FILE_DOWNLOADED_NOT_FINANCE_EVIDENCE"
NLG,HOSE,Nam Long,2025,financial_statement,company_ir,Nam Long financial reports 01ID_PATCH1 candidate,https://www.namlongvn.com/uploads/2025/08/20250804-nlg-bao-cao-soat-xet-ban-nien-2025-hop-nhat-en.pdf,namlongvn.com,REFINED_SEED_DIRECT,79,REVIEWABLE_CANDIDATE,pdf,consolidated,https://www.namlongvn.com/uploads/2025/08/20250804-nlg-bao-cao-soat-xet-ban-nien-2025-hop-nhat-en.pdf/,200,application/pdf,pdf,data\raw\official_finance_documents\01ie\nlg_2025_financial_statement_32478ad3f1aaf25f.pdf,32478ad3f1aaf25f0cf3853fdcad6a8b9d3142bbb873fdb54c617fbc85f2909a,2026-06-06T13:13:37+00:00,DOWNLOADED,high,False,,"01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS and official domain checked, finance numbers not parsed; document saved; no finance values parsed in 01I-B; 01IE_DOCUMENT_FILE_DOWNLOADED_NOT_FINANCE_EVIDENCE"
NLG,HOSE,Nam Long,2025,financial_statement,company_ir,Nam Long financial reports 01ID_PATCH1 candidate,https://www.namlongvn.com/uploads/assets/files/Dai-hoi-dong-co-dong/2025/nlg-agm-2025-nam-long-highlights-in-2024-audited-consolidated-financial-reports-2024.pdf,namlongvn.com,REFINED_SEED_DIRECT,79,REVIEWABLE_CANDIDATE,pdf,consolidated,https://www.namlongvn.com/uploads/assets/files/Dai-hoi-dong-co-dong/2025/nlg-agm-2025-nam-long-highlights-in-2024-audited-consolidated-financial-reports-2024.pdf/,200,application/pdf,pdf,data\raw\official_finance_documents\01ie\nlg_2025_financial_statement_f8546e950feec687.pdf,f8546e950feec6879f9b1fa0ae8f419e81a40d7f720b45b39455093b52ac48da,2026-06-06T13:13:41+00:00,DOWNLOADED,high,False,,"01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS and official domain checked, finance numbers not parsed; document saved; no finance values parsed in 01I-B; 01IE_DOCUMENT_FILE_DOWNLOADED_NOT_FINANCE_EVIDENCE"
