ticker,as_of_date,source_event_date,market,source_category,source_name,source_url,source_checked,appears_in_warning_list,appears_in_control_list,appears_in_supervision_list,appears_in_restriction_list,appears_in_suspension_list,appears_in_delisting_warning_list,appears_in_delisting_list,appears_in_late_financial_report_list,appears_in_audit_qualified_list,appears_in_disclosure_violation_list,appears_in_sanction_list,event_type,severity,evidence_status,confidence_raw,raw_list_type,raw_title,raw_text,fetch_time,notes
GMD,2026-06-05,2026-06-05,HOSE,hose,hose:trading_restriction_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=38,True,False,False,False,False,False,False,False,False,False,False,False,NO_MATERIAL_DISCLOSURE_FOUND_SOURCE_CHECKED,unknown,SOURCE_CHECKED_NOT_FOUND,medium,TRADING_RESTRICTION_LIST,Not found in parsed TRADING_RESTRICTION_LIST,,2026-06-05T04:42:09+00:00,Absence from parsed list is not a guarantee of clean disclosure; it only means this ticker was not found in this parsed source/list.
VHC,2026-06-05,2026-06-05,HOSE,hose,hose:trading_restriction_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=38,True,False,False,False,False,False,False,False,False,False,False,False,NO_MATERIAL_DISCLOSURE_FOUND_SOURCE_CHECKED,unknown,SOURCE_CHECKED_NOT_FOUND,medium,TRADING_RESTRICTION_LIST,Not found in parsed TRADING_RESTRICTION_LIST,,2026-06-05T04:42:09+00:00,Absence from parsed list is not a guarantee of clean disclosure; it only means this ticker was not found in this parsed source/list.
TCM,2026-06-05,2026-06-05,HOSE,hose,hose:trading_restriction_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=38,True,False,False,False,False,False,False,False,False,False,False,False,NO_MATERIAL_DISCLOSURE_FOUND_SOURCE_CHECKED,unknown,SOURCE_CHECKED_NOT_FOUND,medium,TRADING_RESTRICTION_LIST,Not found in parsed TRADING_RESTRICTION_LIST,,2026-06-05T04:42:09+00:00,Absence from parsed list is not a guarantee of clean disclosure; it only means this ticker was not found in this parsed source/list.
VCB,2026-06-05,2026-06-05,HOSE,hose,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=47,True,False,False,False,False,False,False,False,False,False,False,False,NO_MATERIAL_DISCLOSURE_FOUND_SOURCE_CHECKED,unknown,SOURCE_CHECKED_NOT_FOUND,medium,DISCLOSURE_VIOLATION_LIST,Not found in parsed DISCLOSURE_VIOLATION_LIST,,2026-06-05T04:42:13+00:00,Absence from parsed list is not a guarantee of clean disclosure; it only means this ticker was not found in this parsed source/list.
BID,2026-06-05,2026-06-05,HOSE,hose,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=47,True,False,False,False,False,False,False,False,False,False,False,False,NO_MATERIAL_DISCLOSURE_FOUND_SOURCE_CHECKED,unknown,SOURCE_CHECKED_NOT_FOUND,medium,DISCLOSURE_VIOLATION_LIST,Not found in parsed DISCLOSURE_VIOLATION_LIST,,2026-06-05T04:42:13+00:00,Absence from parsed list is not a guarantee of clean disclosure; it only means this ticker was not found in this parsed source/list.
CTG,2026-06-05,2026-06-05,HOSE,hose,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=47,True,False,False,False,False,False,False,False,False,False,False,False,NO_MATERIAL_DISCLOSURE_FOUND_SOURCE_CHECKED,unknown,SOURCE_CHECKED_NOT_FOUND,medium,DISCLOSURE_VIOLATION_LIST,Not found in parsed DISCLOSURE_VIOLATION_LIST,,2026-06-05T04:42:13+00:00,Absence from parsed list is not a guarantee of clean disclosure; it only means this ticker was not found in this parsed source/list.
MBB,2026-06-05,2026-06-05,HOSE,hose,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=47,True,False,False,False,False,False,False,False,False,False,False,False,NO_MATERIAL_DISCLOSURE_FOUND_SOURCE_CHECKED,unknown,SOURCE_CHECKED_NOT_FOUND,medium,DISCLOSURE_VIOLATION_LIST,Not found in parsed DISCLOSURE_VIOLATION_LIST,,2026-06-05T04:42:13+00:00,Absence from parsed list is not a guarantee of clean disclosure; it only means this ticker was not found in this parsed source/list.
ACB,2026-06-05,2026-06-05,HOSE,hose,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=47,True,False,False,False,False,False,False,False,False,False,False,False,NO_MATERIAL_DISCLOSURE_FOUND_SOURCE_CHECKED,unknown,SOURCE_CHECKED_NOT_FOUND,medium,DISCLOSURE_VIOLATION_LIST,Not found in parsed DISCLOSURE_VIOLATION_LIST,,2026-06-05T04:42:13+00:00,Absence from parsed list is not a guarantee of clean disclosure; it only means this ticker was not found in this parsed source/list.
HPG,2026-06-05,2026-06-05,HOSE,hose,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=47,True,False,False,False,False,False,False,False,False,False,False,False,NO_MATERIAL_DISCLOSURE_FOUND_SOURCE_CHECKED,unknown,SOURCE_CHECKED_NOT_FOUND,medium,DISCLOSURE_VIOLATION_LIST,Not found in parsed DISCLOSURE_VIOLATION_LIST,,2026-06-05T04:42:13+00:00,Absence from parsed list is not a guarantee of clean disclosure; it only means this ticker was not found in this parsed source/list.
HSG,2026-06-05,2026-06-05,HOSE,hose,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=47,True,False,False,False,False,False,False,False,False,False,False,False,NO_MATERIAL_DISCLOSURE_FOUND_SOURCE_CHECKED,unknown,SOURCE_CHECKED_NOT_FOUND,medium,DISCLOSURE_VIOLATION_LIST,Not found in parsed DISCLOSURE_VIOLATION_LIST,,2026-06-05T04:42:13+00:00,Absence from parsed list is not a guarantee of clean disclosure; it only means this ticker was not found in this parsed source/list.
VHM,2026-06-05,2026-06-05,HOSE,hose,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=47,True,False,False,False,False,False,False,False,False,False,False,False,NO_MATERIAL_DISCLOSURE_FOUND_SOURCE_CHECKED,unknown,SOURCE_CHECKED_NOT_FOUND,medium,DISCLOSURE_VIOLATION_LIST,Not found in parsed DISCLOSURE_VIOLATION_LIST,,2026-06-05T04:42:13+00:00,Absence from parsed list is not a guarantee of clean disclosure; it only means this ticker was not found in this parsed source/list.
KDH,2026-06-05,2026-06-05,HOSE,hose,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=47,True,False,False,False,False,False,False,False,False,False,False,False,NO_MATERIAL_DISCLOSURE_FOUND_SOURCE_CHECKED,unknown,SOURCE_CHECKED_NOT_FOUND,medium,DISCLOSURE_VIOLATION_LIST,Not found in parsed DISCLOSURE_VIOLATION_LIST,,2026-06-05T04:42:13+00:00,Absence from parsed list is not a guarantee of clean disclosure; it only means this ticker was not found in this parsed source/list.
NLG,2026-06-05,2026-06-05,HOSE,hose,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=47,True,False,False,False,False,False,False,False,False,False,False,False,NO_MATERIAL_DISCLOSURE_FOUND_SOURCE_CHECKED,unknown,SOURCE_CHECKED_NOT_FOUND,medium,DISCLOSURE_VIOLATION_LIST,Not found in parsed DISCLOSURE_VIOLATION_LIST,,2026-06-05T04:42:13+00:00,Absence from parsed list is not a guarantee of clean disclosure; it only means this ticker was not found in this parsed source/list.
SSI,2026-06-05,2026-06-05,HOSE,hose,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=47,True,False,False,False,False,False,False,False,False,False,False,False,NO_MATERIAL_DISCLOSURE_FOUND_SOURCE_CHECKED,unknown,SOURCE_CHECKED_NOT_FOUND,medium,DISCLOSURE_VIOLATION_LIST,Not found in parsed DISCLOSURE_VIOLATION_LIST,,2026-06-05T04:42:13+00:00,Absence from parsed list is not a guarantee of clean disclosure; it only means this ticker was not found in this parsed source/list.
VND,2026-06-05,2026-06-05,HOSE,hose,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=47,True,False,False,False,False,False,False,False,False,False,False,False,NO_MATERIAL_DISCLOSURE_FOUND_SOURCE_CHECKED,unknown,SOURCE_CHECKED_NOT_FOUND,medium,DISCLOSURE_VIOLATION_LIST,Not found in parsed DISCLOSURE_VIOLATION_LIST,,2026-06-05T04:42:13+00:00,Absence from parsed list is not a guarantee of clean disclosure; it only means this ticker was not found in this parsed source/list.
GAS,2026-06-05,2026-06-05,HOSE,hose,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=47,True,False,False,False,False,False,False,False,False,False,False,False,NO_MATERIAL_DISCLOSURE_FOUND_SOURCE_CHECKED,unknown,SOURCE_CHECKED_NOT_FOUND,medium,DISCLOSURE_VIOLATION_LIST,Not found in parsed DISCLOSURE_VIOLATION_LIST,,2026-06-05T04:42:13+00:00,Absence from parsed list is not a guarantee of clean disclosure; it only means this ticker was not found in this parsed source/list.
PVS,2026-06-05,2026-06-05,HOSE,hose,hose:disclosure_violation_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=47,True,False,False,False,False,False,False,False,False,False,False,False,NO_MATERIAL_DISCLOSURE_FOUND_SOURCE_CHECKED,unknown,SOURCE_CHECKED_NOT_FOUND,medium,DISCLOSURE_VIOLATION_LIST,Not found in parsed DISCLOSURE_VIOLATION_LIST,,2026-06-05T04:42:13+00:00,Absence from parsed list is not a guarantee of clean disclosure; it only means this ticker was not found in this parsed source/list.
