ticker,event_date,event_type,severity,title,description,source,source_url,fetch_time,confidence_raw,notes,source_category,source_name,evidence_status,raw_list_type
PTL,2026-05-05,WARNING_LIST,medium,Công ty Cổ phần Victory Group,Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính hợp nhất năm 2025 đã được kiểm toán của tổ chức niêm yết.,hose:warning_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=33,2026-06-05T04:41:52+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=WARNING_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:warning_list,POSITIVE_CONTROL_CONFIRMED,WARNING_LIST
VMD,2026-04-24,WARNING_LIST,medium,Công ty Cổ phần Y Dược phẩm Vimedimex,"Tổ chức niêm yết vi phạm quy định công bố thông tin từ 04 lần trở lên trong vòng 1 năm., Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính hợp nhất năm 2025 đã được kiểm toán của tổ chức niêm yết.",hose:warning_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=33,2026-06-05T04:41:52+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=WARNING_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:warning_list,POSITIVE_CONTROL_CONFIRMED,WARNING_LIST
PTL,2026-04-23,WARNING_LIST,medium,Công ty Cổ phần Victory Group,Tổ chức niêm yết chậm nộp báo cáo tài chính năm 2025 đã được kiểm toán quá 15 ngày so với thời hạn quy định.,hose:warning_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=33,2026-06-05T04:41:52+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=WARNING_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:warning_list,POSITIVE_CONTROL_CONFIRMED,WARNING_LIST
ABS,2026-04-10,WARNING_LIST,medium,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,Lợi nhuận sau thuế chưa phân phối trên BCTC kiểm toán năm 2025 là số âm.,hose:warning_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=33,2026-06-05T04:41:52+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=WARNING_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:warning_list,POSITIVE_CONTROL_CONFIRMED,WARNING_LIST
APG,2026-04-09,WARNING_LIST,medium,Công ty Cổ phần Chứng khoán APG,Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính năm 2025 đã được kiểm toán của tổ chức niêm yết.,hose:warning_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=33,2026-06-05T04:41:52+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=WARNING_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:warning_list,POSITIVE_CONTROL_CONFIRMED,WARNING_LIST
YBM,2026-04-09,WARNING_LIST,medium,Công ty Cổ phần YBM,Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính năm 2025 đã được kiểm toán của tổ chức niêm yết.,hose:warning_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=33,2026-06-05T04:41:52+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=WARNING_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:warning_list,POSITIVE_CONTROL_CONFIRMED,WARNING_LIST
DRH,2024-09-19,WARNING_LIST,medium,Công ty Cổ phần DRH Holdings,Lợi nhuận sau thuế chưa phân phối đến ngày 31/12/2024 là số âm căn cứ BCTC Hợp nhất kiểm toán năm 2024.,hose:warning_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=33,2026-06-05T04:41:52+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=WARNING_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:warning_list,POSITIVE_CONTROL_CONFIRMED,WARNING_LIST
DQC,2025-04-17,WARNING_LIST,medium,Công ty Cổ phần Tập đoàn Điện Quang,Lợi nhuận sau thuế chưa phân phối đến ngày 31/12/2025 là số âm căn cứ BCTC Hợp nhất kiểm toán năm 2025.,hose:warning_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=33,2026-06-05T04:41:52+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=WARNING_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:warning_list,POSITIVE_CONTROL_CONFIRMED,WARNING_LIST
TDH,2025-04-09,WARNING_LIST,medium,Công ty Cổ phần Phát triển Nhà Thủ Đức,"Lợi nhuận sau thuế chưa phân phối đến ngày 31/12/2025 là -947,65 tỷ đồng căn cứ BCTC Hợp nhất kiểm toán năm 2025.",hose:warning_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=33,2026-06-05T04:41:52+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=WARNING_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:warning_list,POSITIVE_CONTROL_CONFIRMED,WARNING_LIST
PTL,2024-08-21,AUDIT_QUALIFIED_OPINION,high,Công ty Cổ phần Victory Group,"Lợi nhuận sau thuế chưa phân phối trên BCTC hợp nhất năm 2025 là số âm, có ý kiến ngoại trừ của kiểm toán.",hose:warning_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=33,2026-06-05T04:41:52+00:00,high,evidence_status=POSITIVE_CONTROL_CONFIRMED; raw_list_type=WARNING_LIST; parsed from official/public status list; no disclosure fact fabricated,hose,hose:warning_list,POSITIVE_CONTROL_CONFIRMED,WARNING_LIST
