reason_or_field,count,percentage_of_universe,example_tickers
Primary market data missing or incomplete.,1727,99.082,"[""A32"", ""AAA"", ""AAH"", ""AAM"", ""AAN""]"
Survived primary-only scale filters; manual BCTC/source verification remains required.,16,0.918,"[""TLH"", ""TVN"", ""TVS"", ""VCG"", ""VCI""]"
