provider_name,source_family,ticker,attempt_status,network_used,optional_install_used,request_count,error_type,error_message,attempted_at
vnquant,vndirect_market,VRE,IMPORT_ERROR,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:24:03+00:00
vnquant,vndirect_market,VNE,IMPORT_ERROR,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:24:03+00:00
vnquant,vndirect_market,VOS,IMPORT_ERROR,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:24:03+00:00
vnquant,vndirect_market,VTP,IMPORT_ERROR,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:24:03+00:00
vnquant,vndirect_market,TLH,IMPORT_ERROR,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:24:03+00:00
vietfin,unknown_brokerage_api,VIX,IMPORT_ERROR,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:24:03+00:00
vietfin,unknown_brokerage_api,VND,IMPORT_ERROR,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:24:03+00:00
vietfin,unknown_brokerage_api,VSC,IMPORT_ERROR,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:24:03+00:00
vietfin,unknown_brokerage_api,VGI,IMPORT_ERROR,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:24:03+00:00
vietfin,unknown_brokerage_api,VCG,IMPORT_ERROR,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:24:03+00:00
vietfin,unknown_brokerage_api,VNM,IMPORT_ERROR,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:24:03+00:00
vietfin,unknown_brokerage_api,TVN,IMPORT_ERROR,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:24:03+00:00
vietfin,unknown_brokerage_api,VJC,IMPORT_ERROR,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:24:03+00:00
vietfin,unknown_brokerage_api,VTZ,IMPORT_ERROR,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:24:03+00:00
vietfin,unknown_brokerage_api,YEG,IMPORT_ERROR,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:24:03+00:00
vietfin,unknown_brokerage_api,VCI,IMPORT_ERROR,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:24:03+00:00
vietfin,unknown_brokerage_api,VFS,IMPORT_ERROR,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:24:03+00:00
vietfin,unknown_brokerage_api,VDS,IMPORT_ERROR,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:24:03+00:00
vietfin,unknown_brokerage_api,VIG,IMPORT_ERROR,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:24:03+00:00
vietfin,unknown_brokerage_api,TVS,IMPORT_ERROR,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:24:03+00:00
vietfin,unknown_brokerage_api,VRE,IMPORT_ERROR,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:24:03+00:00
