ticker,date,close,volume
VOS,2026-01-28,12.95,1741000
VOS,2026-01-29,13.05,800500
VOS,2026-01-30,13.05,1480500
VOS,2026-02-02,13.6,2088100
VOS,2026-02-03,14.1,3401500
VOS,2026-02-04,15.05,5975200
VOS,2026-02-05,14.5,5267700
VOS,2026-02-06,14.15,5058100
VOS,2026-02-09,13.9,1550800
VOS,2026-02-10,13.5,2429900
VOS,2026-02-11,13.55,1375100
VOS,2026-02-12,13.9,1243900
VOS,2026-02-13,14.1,1666100
VOS,2026-02-23,14.7,2211900
VOS,2026-02-24,14.9,2773000
VOS,2026-02-25,14.8,1534200
VOS,2026-02-26,14.7,2129700
VOS,2026-02-27,15.4,4771900
VOS,2026-03-02,16.45,4409200
VOS,2026-03-03,17.6,9194100
VOS,2026-03-04,18.5,11190600
VOS,2026-03-05,17.25,5157000
VOS,2026-03-06,16.05,5655200
VOS,2026-03-09,14.95,1890200
VOS,2026-03-10,14.05,7819700
VOS,2026-03-11,14.75,2429500
VOS,2026-03-12,14.4,2627300
VOS,2026-03-13,14.1,3913700
VOS,2026-03-16,14.0,2674800
VOS,2026-03-17,14.1,1219200
VOS,2026-03-18,14.3,2003700
VOS,2026-03-19,13.65,2432300
VOS,2026-03-20,13.0,2923200
VOS,2026-03-23,12.35,2731000
VOS,2026-03-24,12.5,1125500
VOS,2026-03-25,12.85,1439400
VOS,2026-03-26,12.75,1253000
VOS,2026-03-27,12.95,1288600
VOS,2026-03-30,12.65,1390700
VOS,2026-03-31,12.6,956900
VOS,2026-04-01,12.8,1270400
VOS,2026-04-02,12.65,1132200
VOS,2026-04-03,12.5,827700
VOS,2026-04-06,12.25,1278500
VOS,2026-04-07,12.4,764800
VOS,2026-04-08,12.9,1928800
VOS,2026-04-09,12.75,947000
VOS,2026-04-10,13.05,1521900
VOS,2026-04-13,12.9,876100
VOS,2026-04-14,12.85,811900
VOS,2026-04-15,12.85,935100
VOS,2026-04-16,12.9,1491800
VOS,2026-04-17,13.05,1314500
VOS,2026-04-20,12.95,718700
VOS,2026-04-21,12.8,1051400
VOS,2026-04-22,12.65,663000
VOS,2026-04-23,12.75,1620300
VOS,2026-04-24,12.6,637300
VOS,2026-04-28,12.45,872000
VOS,2026-04-29,12.6,873900
VOS,2026-05-04,12.55,598800
VOS,2026-05-05,12.45,744300
VOS,2026-05-06,12.7,719300
VOS,2026-05-07,12.55,1045700
VOS,2026-05-08,12.45,818800
VOS,2026-05-11,12.35,911000
VOS,2026-05-12,12.4,758900
VOS,2026-05-13,12.65,793500
VOS,2026-05-14,12.7,537900
VOS,2026-05-15,12.8,1303900
VOS,2026-05-18,13.1,1694200
VOS,2026-05-19,12.75,1205900
VOS,2026-05-20,12.55,1312400
VOS,2026-05-21,12.55,391300
VOS,2026-05-22,12.45,642800
VOS,2026-05-25,12.45,393100
VOS,2026-05-26,12.5,425000
VOS,2026-05-27,12.7,489800
VOS,2026-05-28,12.45,393700
VOS,2026-05-29,12.5,701100
VOS,2026-06-01,12.4,242300
VOS,2026-06-02,12.2,1024000
VOS,2026-06-03,12.3,428600
VOS,2026-06-04,12.3,370100
VOS,2026-06-05,12.2,294800
VOS,2026-06-08,11.8,808700
VOS,2026-06-09,11.9,317000
VOS,2026-06-10,11.9,359100
VOS,2026-06-11,11.8,302700
