ticker,date,close,volume
VFS,2026-01-28,13.91,2147364
VFS,2026-01-29,13.82,2114214
VFS,2026-01-30,13.73,3088065
VFS,2026-02-02,13.91,792148
VFS,2026-02-03,13.73,2683618
VFS,2026-02-04,13.91,770296
VFS,2026-02-05,13.82,3397480
VFS,2026-02-06,13.45,2288748
VFS,2026-02-09,13.55,1402567
VFS,2026-02-10,13.55,421463
VFS,2026-02-11,13.64,1394017
VFS,2026-02-12,13.64,4103165
VFS,2026-02-13,13.55,636966
VFS,2026-02-23,13.64,2731184
VFS,2026-02-24,13.73,1062277
VFS,2026-02-25,13.82,1624686
VFS,2026-02-26,13.73,2836090
VFS,2026-02-27,13.73,548577
VFS,2026-03-02,13.55,1694664
VFS,2026-03-03,13.73,2343331
VFS,2026-03-04,13.64,1575858
VFS,2026-03-05,13.82,6604069
VFS,2026-03-06,13.73,1720343
VFS,2026-03-09,13.0,4691793
VFS,2026-03-10,12.91,3363840
VFS,2026-03-11,12.91,2040270
VFS,2026-03-12,12.82,3105819
VFS,2026-03-13,12.73,1927541
VFS,2026-03-16,12.64,1580781
VFS,2026-03-17,12.64,4695475
VFS,2026-03-18,12.55,1442288
VFS,2026-03-19,12.55,949097
VFS,2026-03-20,12.45,1636786
VFS,2026-03-23,12.36,2854450
VFS,2026-03-24,12.64,2357045
VFS,2026-03-25,12.73,505768
VFS,2026-03-26,13.0,2411374
VFS,2026-03-27,13.45,2283915
VFS,2026-03-30,13.36,2304460
VFS,2026-03-31,13.18,4542553
VFS,2026-04-01,13.0,4879849
VFS,2026-04-02,12.55,2326425
VFS,2026-04-03,12.0,2557539
VFS,2026-04-06,11.64,1020769
VFS,2026-04-07,11.73,1011458
VFS,2026-04-08,12.09,2401770
VFS,2026-04-09,11.91,1297349
VFS,2026-04-10,11.82,735695
VFS,2026-04-13,11.82,823200
VFS,2026-04-14,12.18,1359700
VFS,2026-04-15,12.0,898837
VFS,2026-04-16,11.91,308679
VFS,2026-04-17,11.82,361761
VFS,2026-04-20,11.82,353624
VFS,2026-04-21,11.82,540311
VFS,2026-04-22,11.73,459545
VFS,2026-04-23,11.64,531434
VFS,2026-04-24,11.64,487876
VFS,2026-04-28,11.55,787604
VFS,2026-04-29,11.73,917450
VFS,2026-05-04,11.82,357052
VFS,2026-05-05,11.82,611528
VFS,2026-05-06,12.0,575166
VFS,2026-05-07,11.91,1097921
VFS,2026-05-08,11.91,520731
VFS,2026-05-11,11.73,373924
VFS,2026-05-12,11.82,305656
VFS,2026-05-13,11.64,357505
VFS,2026-05-14,11.82,943605
VFS,2026-05-15,11.91,826092
VFS,2026-05-18,11.73,928317
VFS,2026-05-19,11.73,623730
VFS,2026-05-20,11.73,1128147
VFS,2026-05-21,11.91,1324214
VFS,2026-05-22,12.0,1565731
VFS,2026-05-25,12.09,1878042
VFS,2026-05-26,12.3,1120309
VFS,2026-05-27,12.2,1773072
VFS,2026-05-28,12.1,1208878
VFS,2026-05-29,11.9,764569
VFS,2026-06-01,12.0,1264370
VFS,2026-06-02,11.7,2610348
VFS,2026-06-03,11.6,2944157
VFS,2026-06-04,11.3,3189235
VFS,2026-06-05,11.0,1900779
VFS,2026-06-08,10.4,2020700
VFS,2026-06-09,10.4,628800
VFS,2026-06-10,10.3,997000
VFS,2026-06-11,10.3,438800
