ticker,date,close,volume
VNE,2026-01-28,5.4,111700
VNE,2026-01-29,5.39,208300
VNE,2026-01-30,5.45,157300
VNE,2026-02-02,5.47,78500
VNE,2026-02-03,5.37,208200
VNE,2026-02-04,5.4,147100
VNE,2026-02-05,5.38,53000
VNE,2026-02-06,5.33,51600
VNE,2026-02-09,5.33,13300
VNE,2026-02-10,5.25,133400
VNE,2026-02-11,5.25,889300
VNE,2026-02-12,5.2,77100
VNE,2026-02-13,5.32,195600
VNE,2026-02-23,5.4,162500
VNE,2026-02-24,5.77,760100
VNE,2026-02-25,5.56,357800
VNE,2026-02-26,5.25,333600
VNE,2026-02-27,5.25,437900
VNE,2026-03-02,5.18,415400
VNE,2026-03-03,5.18,176000
VNE,2026-03-04,5.11,160600
VNE,2026-03-05,5.02,125000
VNE,2026-03-06,4.97,372600
VNE,2026-03-09,4.63,138900
VNE,2026-03-10,4.5,188300
VNE,2026-03-11,4.52,191400
VNE,2026-03-12,4.53,241900
VNE,2026-03-13,4.47,215800
VNE,2026-03-16,4.45,174300
VNE,2026-03-17,4.44,234800
VNE,2026-03-18,4.4,164500
VNE,2026-03-19,4.4,54200
VNE,2026-03-20,4.39,34400
VNE,2026-03-23,4.33,28200
VNE,2026-03-24,4.34,154200
VNE,2026-03-25,4.27,207000
VNE,2026-03-26,4.23,74800
VNE,2026-03-27,4.2,340900
VNE,2026-03-30,4.05,244100
VNE,2026-03-31,4.04,158300
VNE,2026-04-01,4.04,308900
VNE,2026-04-02,3.99,107500
VNE,2026-04-03,3.99,152400
VNE,2026-04-06,3.96,188800
VNE,2026-04-07,3.96,140400
VNE,2026-04-08,4.01,265000
VNE,2026-04-09,4.0,87700
VNE,2026-04-10,3.94,144600
VNE,2026-04-13,3.9,160800
VNE,2026-04-14,3.9,149100
VNE,2026-04-15,3.84,179700
VNE,2026-04-16,3.82,269400
VNE,2026-04-17,3.62,292800
VNE,2026-04-20,3.5,244200
VNE,2026-04-21,3.28,983400
VNE,2026-04-22,3.34,237400
VNE,2026-04-23,3.57,1024000
VNE,2026-04-24,3.81,642500
VNE,2026-04-28,4.07,1665800
VNE,2026-04-29,4.21,830900
VNE,2026-05-04,3.92,848700
VNE,2026-05-05,3.65,594300
VNE,2026-05-06,3.48,1130200
VNE,2026-05-07,3.45,949600
VNE,2026-05-08,3.21,1335100
VNE,2026-05-11,2.99,1661700
VNE,2026-05-12,3.0,802800
VNE,2026-05-13,3.03,994700
VNE,2026-05-14,3.0,693500
VNE,2026-05-15,2.97,547700
VNE,2026-05-18,3.01,513300
VNE,2026-05-19,2.95,398400
VNE,2026-05-20,2.75,1073300
VNE,2026-05-21,2.56,535400
VNE,2026-05-22,2.39,559700
VNE,2026-05-25,2.55,5063600
VNE,2026-05-26,2.72,533100
VNE,2026-05-27,2.91,3026500
VNE,2026-05-28,3.11,3351200
VNE,2026-05-29,3.32,1100500
VNE,2026-06-01,3.1,4972100
VNE,2026-06-02,3.25,2915300
VNE,2026-06-03,3.03,1504300
VNE,2026-06-04,2.82,1648000
VNE,2026-06-05,2.68,1156100
VNE,2026-06-08,2.86,419600
VNE,2026-06-09,3.06,449300
VNE,2026-06-10,3.11,1728400
VNE,2026-06-11,3.01,382400
