ticker,date,close,volume
VJC,2026-01-28,171.5,1969300
VJC,2026-01-29,164.0,1782400
VJC,2026-01-30,170.5,1696000
VJC,2026-02-02,170.0,1498600
VJC,2026-02-03,168.0,1304800
VJC,2026-02-04,165.0,1312300
VJC,2026-02-05,166.5,1515400
VJC,2026-02-06,166.0,1268400
VJC,2026-02-09,165.0,1042500
VJC,2026-02-10,163.0,1049000
VJC,2026-02-11,168.0,1187900
VJC,2026-02-12,168.0,1078600
VJC,2026-02-13,169.2,1247500
VJC,2026-02-23,174.9,1266800
VJC,2026-02-24,186.6,1663400
VJC,2026-02-25,178.5,1183500
VJC,2026-02-26,178.5,1174800
VJC,2026-02-27,175.8,1133900
VJC,2026-03-02,169.0,1184600
VJC,2026-03-03,164.1,1193000
VJC,2026-03-04,163.2,1467800
VJC,2026-03-05,156.4,1566900
VJC,2026-03-06,156.4,1238100
VJC,2026-03-09,153.0,1111300
VJC,2026-03-10,155.0,1429000
VJC,2026-03-11,159.7,1433700
VJC,2026-03-12,152.8,1393200
VJC,2026-03-13,156.8,1257300
VJC,2026-03-16,154.0,1162100
VJC,2026-03-17,157.0,1243800
VJC,2026-03-18,160.0,1285600
VJC,2026-03-19,158.7,1725300
VJC,2026-03-20,157.3,1784200
VJC,2026-03-23,151.8,980100
VJC,2026-03-24,153.0,1654700
VJC,2026-03-25,153.0,1290300
VJC,2026-03-26,155.0,1165100
VJC,2026-03-27,157.0,1004300
VJC,2026-03-30,157.1,1246800
VJC,2026-03-31,156.0,864400
VJC,2026-04-01,166.9,1686900
VJC,2026-04-02,165.5,1060100
VJC,2026-04-03,161.1,1433000
VJC,2026-04-06,163.3,1008000
VJC,2026-04-07,163.5,992900
VJC,2026-04-08,169.5,1266500
VJC,2026-04-09,166.0,1032800
VJC,2026-04-10,167.0,1039700
VJC,2026-04-13,166.8,1053300
VJC,2026-04-14,166.8,1099200
VJC,2026-04-15,178.2,2641000
VJC,2026-04-16,178.2,1542600
VJC,2026-04-17,177.8,1633500
VJC,2026-04-20,175.3,920700
VJC,2026-04-21,175.7,1478300
VJC,2026-04-22,175.7,1254700
VJC,2026-04-23,174.9,1053200
VJC,2026-04-24,180.5,1581700
VJC,2026-04-28,178.7,1353200
VJC,2026-04-29,180.0,1495900
VJC,2026-05-04,179.9,1174600
VJC,2026-05-05,181.0,1482700
VJC,2026-05-06,181.5,2074100
VJC,2026-05-07,182.0,1264500
VJC,2026-05-08,176.2,1363900
VJC,2026-05-11,170.5,1526200
VJC,2026-05-12,175.0,1271400
VJC,2026-05-13,173.1,1105600
VJC,2026-05-14,173.1,1197100
VJC,2026-05-15,171.3,1138200
VJC,2026-05-18,171.1,1391200
VJC,2026-05-19,172.0,1175600
VJC,2026-05-20,170.6,1335700
VJC,2026-05-21,173.5,1520400
VJC,2026-05-22,170.1,1084400
VJC,2026-05-25,173.8,1116300
VJC,2026-05-26,172.6,996200
VJC,2026-05-27,172.1,1047500
VJC,2026-05-28,170.4,999300
VJC,2026-05-29,171.9,998700
VJC,2026-06-01,171.0,881400
VJC,2026-06-02,170.1,901200
VJC,2026-06-03,170.8,1089800
VJC,2026-06-04,172.6,1034100
VJC,2026-06-05,184.6,1789100
VJC,2026-06-08,176.8,846900
VJC,2026-06-09,179.0,898900
VJC,2026-06-10,182.0,1008400
VJC,2026-06-11,177.5,817800
