ticker,date,close,volume
VDS,2026-01-28,18.3,2766200
VDS,2026-01-29,18.4,1285800
VDS,2026-01-30,18.25,1298400
VDS,2026-02-02,18.35,1207700
VDS,2026-02-03,19.0,2529100
VDS,2026-02-04,18.7,1843900
VDS,2026-02-05,18.0,948900
VDS,2026-02-06,17.45,1746500
VDS,2026-02-09,17.65,474100
VDS,2026-02-10,17.6,731400
VDS,2026-02-11,18.2,1437600
VDS,2026-02-12,17.95,672700
VDS,2026-02-13,17.95,868400
VDS,2026-02-23,17.9,1028300
VDS,2026-02-24,18.1,1247800
VDS,2026-02-25,18.35,1782500
VDS,2026-02-26,18.4,745100
VDS,2026-02-27,18.65,1780000
VDS,2026-03-02,17.9,2514600
VDS,2026-03-03,17.8,1624900
VDS,2026-03-04,17.95,2857600
VDS,2026-03-05,18.15,2854500
VDS,2026-03-06,16.95,1158700
VDS,2026-03-09,15.8,689400
VDS,2026-03-10,15.15,2193300
VDS,2026-03-11,15.75,1391300
VDS,2026-03-12,15.5,876400
VDS,2026-03-13,15.1,844700
VDS,2026-03-16,15.3,932600
VDS,2026-03-17,15.25,969000
VDS,2026-03-18,15.25,802600
VDS,2026-03-19,14.9,723700
VDS,2026-03-20,14.6,883700
VDS,2026-03-23,13.6,1353100
VDS,2026-03-24,13.75,964300
VDS,2026-03-25,14.3,654500
VDS,2026-03-26,13.95,557500
VDS,2026-03-27,14.4,793500
VDS,2026-03-30,14.05,859300
VDS,2026-03-31,14.55,968000
VDS,2026-04-01,14.95,1242400
VDS,2026-04-02,14.75,757600
VDS,2026-04-03,14.45,580200
VDS,2026-04-06,14.25,300800
VDS,2026-04-07,14.35,403300
VDS,2026-04-08,15.35,1506800
VDS,2026-04-09,15.25,842800
VDS,2026-04-10,15.2,531400
VDS,2026-04-13,15.1,767300
VDS,2026-04-14,15.1,645800
VDS,2026-04-15,15.0,694800
VDS,2026-04-16,15.15,541900
VDS,2026-04-17,15.0,632400
VDS,2026-04-20,15.0,492800
VDS,2026-04-21,14.65,670500
VDS,2026-04-22,14.5,547100
VDS,2026-04-23,14.65,614500
VDS,2026-04-24,14.35,195000
VDS,2026-04-28,14.2,403000
VDS,2026-04-29,14.45,367900
VDS,2026-05-04,14.4,419500
VDS,2026-05-05,14.35,1201100
VDS,2026-05-06,14.5,2250600
VDS,2026-05-07,14.1,615600
VDS,2026-05-08,13.9,1023600
VDS,2026-05-11,13.7,1301800
VDS,2026-05-12,13.65,578600
VDS,2026-05-13,13.65,474000
VDS,2026-05-14,13.7,312200
VDS,2026-05-15,13.6,277800
VDS,2026-05-18,13.5,661300
VDS,2026-05-19,13.6,765600
VDS,2026-05-20,13.2,848100
VDS,2026-05-21,13.2,283100
VDS,2026-05-22,13.55,925800
VDS,2026-05-25,13.45,223500
VDS,2026-05-26,13.55,504700
VDS,2026-05-27,13.55,339500
VDS,2026-05-28,14.0,1372300
VDS,2026-05-29,13.65,427000
VDS,2026-06-01,13.75,285300
VDS,2026-06-02,13.45,324000
VDS,2026-06-03,13.75,392200
VDS,2026-06-04,13.75,160100
VDS,2026-06-05,13.65,911100
VDS,2026-06-08,13.3,452100
VDS,2026-06-09,13.4,183300
VDS,2026-06-10,13.55,168600
VDS,2026-06-11,13.85,416200
