ticker,date,close,volume
VGI,2026-01-28,122.6,3397600
VGI,2026-01-29,123.0,1541800
VGI,2026-01-30,123.3,1803400
VGI,2026-02-02,128.9,1558200
VGI,2026-02-03,134.5,2297200
VGI,2026-02-04,131.0,1363400
VGI,2026-02-05,121.0,2254100
VGI,2026-02-06,114.4,3112200
VGI,2026-02-09,113.3,750400
VGI,2026-02-10,104.9,2655800
VGI,2026-02-11,106.2,902300
VGI,2026-02-12,107.0,422000
VGI,2026-02-13,105.0,1064100
VGI,2026-02-23,117.4,1503600
VGI,2026-02-24,114.9,1044000
VGI,2026-02-25,113.8,1154900
VGI,2026-02-26,110.9,1084400
VGI,2026-02-27,110.0,1341300
VGI,2026-03-02,102.7,1680900
VGI,2026-03-03,101.5,1624400
VGI,2026-03-04,97.0,1843600
VGI,2026-03-05,97.4,810000
VGI,2026-03-06,92.1,1165300
VGI,2026-03-09,80.4,2082300
VGI,2026-03-10,85.9,1450000
VGI,2026-03-11,88.6,1034800
VGI,2026-03-12,84.6,752400
VGI,2026-03-13,82.4,1000200
VGI,2026-03-16,83.7,731400
VGI,2026-03-17,86.4,642900
VGI,2026-03-18,86.0,793100
VGI,2026-03-19,84.2,612500
VGI,2026-03-20,85.6,857600
VGI,2026-03-23,81.7,761000
VGI,2026-03-24,84.3,485700
VGI,2026-03-25,87.3,777200
VGI,2026-03-26,95.9,2175700
VGI,2026-03-27,94.0,917400
VGI,2026-03-30,90.8,889900
VGI,2026-03-31,89.9,824200
VGI,2026-04-01,95.3,1445600
VGI,2026-04-02,93.3,646600
VGI,2026-04-03,90.6,592300
VGI,2026-04-06,88.6,524900
VGI,2026-04-07,90.5,422800
VGI,2026-04-08,94.2,1001900
VGI,2026-04-09,91.9,584800
VGI,2026-04-10,93.3,829800
VGI,2026-04-13,93.8,647800
VGI,2026-04-14,96.9,1371800
VGI,2026-04-15,94.3,964300
VGI,2026-04-16,92.6,817200
VGI,2026-04-17,93.8,459400
VGI,2026-04-20,92.9,361600
VGI,2026-04-21,93.2,504700
VGI,2026-04-22,92.2,391700
VGI,2026-04-23,91.6,661700
VGI,2026-04-24,92.6,568900
VGI,2026-04-28,90.9,472100
VGI,2026-04-29,89.7,557600
VGI,2026-05-04,89.6,247900
VGI,2026-05-05,88.6,360900
VGI,2026-05-06,87.6,766100
VGI,2026-05-07,87.8,594800
VGI,2026-05-08,86.6,503800
VGI,2026-05-11,84.8,476400
VGI,2026-05-12,85.3,397000
VGI,2026-05-13,90.7,1364900
VGI,2026-05-14,90.7,471000
VGI,2026-05-15,89.2,572100
VGI,2026-05-18,97.5,2597200
VGI,2026-05-19,101.5,2868200
VGI,2026-05-20,97.9,1770500
VGI,2026-05-21,96.0,867300
VGI,2026-05-22,94.2,782000
VGI,2026-05-25,94.4,401700
VGI,2026-05-26,93.9,380100
VGI,2026-05-27,96.0,795400
VGI,2026-05-28,93.5,578900
VGI,2026-05-29,93.1,489300
VGI,2026-06-01,92.1,345300
VGI,2026-06-02,92.8,398400
VGI,2026-06-03,94.2,442300
VGI,2026-06-04,96.0,836700
VGI,2026-06-05,94.6,358500
VGI,2026-06-08,90.5,849000
VGI,2026-06-09,91.3,358500
VGI,2026-06-10,90.8,188300
VGI,2026-06-11,89.4,348800
