ticker,date,close,volume
VNM,2026-01-28,67.7,9816800
VNM,2026-01-29,71.1,10036800
VNM,2026-01-30,70.6,7844800
VNM,2026-02-02,72.6,10777700
VNM,2026-02-03,71.6,7261000
VNM,2026-02-04,72.0,7672500
VNM,2026-02-05,69.1,8057000
VNM,2026-02-06,69.1,6695900
VNM,2026-02-09,69.6,2573300
VNM,2026-02-10,68.4,5090400
VNM,2026-02-11,69.1,2672900
VNM,2026-02-12,69.0,1951100
VNM,2026-02-13,69.5,3341400
VNM,2026-02-23,70.6,4211800
VNM,2026-02-24,70.2,3552500
VNM,2026-02-25,72.3,9804200
VNM,2026-02-26,70.6,14298200
VNM,2026-02-27,68.2,13371400
VNM,2026-03-02,66.6,12468700
VNM,2026-03-03,63.4,17815700
VNM,2026-03-04,64.9,13382500
VNM,2026-03-05,63.2,8165700
VNM,2026-03-06,62.4,6471800
VNM,2026-03-09,58.1,18046300
VNM,2026-03-10,62.1,10762100
VNM,2026-03-11,63.0,7507500
VNM,2026-03-12,61.6,6298800
VNM,2026-03-13,63.1,5388500
VNM,2026-03-16,61.8,2965000
VNM,2026-03-17,61.5,3816100
VNM,2026-03-18,61.7,2596400
VNM,2026-03-19,61.0,6400100
VNM,2026-03-20,60.0,5734800
VNM,2026-03-23,60.8,5908000
VNM,2026-03-24,61.2,2689900
VNM,2026-03-25,62.1,3445600
VNM,2026-03-26,61.0,2044000
VNM,2026-03-27,61.5,2137400
VNM,2026-03-30,60.6,4075600
VNM,2026-03-31,60.5,5323200
VNM,2026-04-01,61.3,5446200
VNM,2026-04-02,60.8,2855300
VNM,2026-04-03,60.0,3788600
VNM,2026-04-06,60.9,2587400
VNM,2026-04-07,61.0,1825200
VNM,2026-04-08,62.6,5568500
VNM,2026-04-09,61.8,2921000
VNM,2026-04-10,62.8,6158400
VNM,2026-04-13,62.8,3418300
VNM,2026-04-14,62.0,4247700
VNM,2026-04-15,61.3,4403200
VNM,2026-04-16,61.1,2272100
VNM,2026-04-17,61.3,3115500
VNM,2026-04-20,61.5,3251900
VNM,2026-04-21,61.6,5306600
VNM,2026-04-22,61.8,3939900
VNM,2026-04-23,62.0,4234100
VNM,2026-04-24,61.4,5855700
VNM,2026-04-28,61.2,3220800
VNM,2026-04-29,60.9,2407200
VNM,2026-05-04,60.9,1873800
VNM,2026-05-05,61.1,2751900
VNM,2026-05-06,61.5,2590900
VNM,2026-05-07,61.5,4751300
VNM,2026-05-08,60.9,2787000
VNM,2026-05-11,60.6,3875800
VNM,2026-05-12,60.1,4102800
VNM,2026-05-13,59.3,8534300
VNM,2026-05-14,60.1,3058300
VNM,2026-05-15,59.8,2010300
VNM,2026-05-18,60.5,4850600
VNM,2026-05-19,59.8,2739700
VNM,2026-05-20,59.1,5727600
VNM,2026-05-21,59.0,3271300
VNM,2026-05-22,59.5,6005000
VNM,2026-05-25,59.1,1587500
VNM,2026-05-26,59.1,1880800
VNM,2026-05-27,58.8,2976500
VNM,2026-05-28,59.0,3798600
VNM,2026-05-29,59.2,1960700
VNM,2026-06-01,59.1,2259500
VNM,2026-06-02,58.6,2961900
VNM,2026-06-03,58.3,3814300
VNM,2026-06-04,58.6,2126500
VNM,2026-06-05,58.4,1866100
VNM,2026-06-08,58.0,3179800
VNM,2026-06-09,58.3,1228000
VNM,2026-06-10,58.9,2353200
VNM,2026-06-11,59.2,1804500
