ticker,date,close,volume
VTP,2026-01-28,84.89,1248063
VTP,2026-01-29,81.95,1128919
VTP,2026-01-30,81.8,977479
VTP,2026-02-02,84.23,918512
VTP,2026-02-03,85.48,1194574
VTP,2026-02-04,83.64,789893
VTP,2026-02-05,80.92,940415
VTP,2026-02-06,81.36,861831
VTP,2026-02-09,79.52,413370
VTP,2026-02-10,76.13,853330
VTP,2026-02-11,76.28,456354
VTP,2026-02-12,75.03,382357
VTP,2026-02-13,75.03,493193
VTP,2026-02-23,80.25,549160
VTP,2026-02-24,80.18,565403
VTP,2026-02-25,80.03,466194
VTP,2026-02-26,78.49,402889
VTP,2026-02-27,78.86,630648
VTP,2026-03-02,75.91,682476
VTP,2026-03-03,74.37,678361
VTP,2026-03-04,73.93,798359
VTP,2026-03-05,74.0,283633
VTP,2026-03-06,71.79,539498
VTP,2026-03-09,66.79,503454
VTP,2026-03-10,67.31,938127
VTP,2026-03-11,69.37,499478
VTP,2026-03-12,67.38,399466
VTP,2026-03-13,65.54,722277
VTP,2026-03-16,65.47,390545
VTP,2026-03-17,65.98,355278
VTP,2026-03-18,66.87,299780
VTP,2026-03-19,65.76,276163
VTP,2026-03-20,65.32,298954
VTP,2026-03-23,60.76,813347
VTP,2026-03-24,62.23,257716
VTP,2026-03-25,65.39,523452
VTP,2026-03-26,69.96,857775
VTP,2026-03-27,72.97,1077429
VTP,2026-03-30,71.72,489372
VTP,2026-03-31,70.91,684363
VTP,2026-04-01,73.12,763617
VTP,2026-04-02,72.31,428366
VTP,2026-04-03,68.85,658600
VTP,2026-04-06,69.29,601127
VTP,2026-04-07,72.2,931691
VTP,2026-04-08,74.8,424423
VTP,2026-04-09,73.5,413812
VTP,2026-04-10,73.0,359003
VTP,2026-04-13,71.7,529470
VTP,2026-04-14,72.2,743701
VTP,2026-04-15,71.8,398963
VTP,2026-04-16,70.3,589368
VTP,2026-04-17,71.0,261300
VTP,2026-04-20,70.8,266300
VTP,2026-04-21,69.7,644100
VTP,2026-04-22,67.7,842900
VTP,2026-04-23,68.5,394800
VTP,2026-04-24,69.4,390600
VTP,2026-04-28,68.8,315200
VTP,2026-04-29,68.0,298600
VTP,2026-05-04,68.0,185000
VTP,2026-05-05,65.9,1010300
VTP,2026-05-06,66.4,427900
VTP,2026-05-07,66.2,515400
VTP,2026-05-08,66.0,340100
VTP,2026-05-11,63.2,849400
VTP,2026-05-12,64.2,221400
VTP,2026-05-13,67.3,1051200
VTP,2026-05-14,66.7,356600
VTP,2026-05-15,65.1,372200
VTP,2026-05-18,68.2,1148600
VTP,2026-05-19,71.7,2750200
VTP,2026-05-20,70.5,755100
VTP,2026-05-21,68.9,731600
VTP,2026-05-22,67.0,883200
VTP,2026-05-25,66.8,291500
VTP,2026-05-26,66.5,315200
VTP,2026-05-27,66.8,453600
VTP,2026-05-28,65.2,570100
VTP,2026-05-29,65.0,334000
VTP,2026-06-01,65.3,169100
VTP,2026-06-02,65.7,310600
VTP,2026-06-03,65.8,387500
VTP,2026-06-04,66.2,435500
VTP,2026-06-05,65.5,211600
VTP,2026-06-08,64.0,494200
VTP,2026-06-09,63.9,154700
VTP,2026-06-10,64.0,211700
VTP,2026-06-11,64.0,219400
