ticker,company_name,exchange_if_available,step26_screening_status,step29_screening_status,step29_review_status,step29_market_recovery_status,watchlist_status,shortlist_eligible,shortlist_exclusion_reason,step29_manual_review_required,manual_bctc_required,market_data_available_after_step28,recent_price_available_after_step28,liquidity_data_available_after_step28,step28_fetch_status,step28_fetch_error_type,step28_last_price_date,step28_last_close,step28_last_volume,last_price_date,last_close,avg_volume_20d,avg_volume_60d,last_volume,recent_trading_value,remaining_missing_fields,remaining_block_reasons,finance_quality_status,finance_source_confidence,market_source_confidence,crosscheck_status,verification_status,data_quality_status,confidence_status
ABI,Công ty Cổ phần Bảo hiểm Ngân hàng Nông Nghiệp,UPCoM,BLOCKED_INSUFFICIENT_MARKET_DATA,MANUAL_REVIEW,NEEDS_MANUAL_BCTC_REVIEW,RECOVERED_FROM_STEP26_BLOCKED,MANUAL_REVIEW,False,NOT_WATCHLIST_CANDIDATE,True,True,True,True,True,OK,OK,2026-06-12,19.3,24500.0,2026-06-12,19.3,18240.0,34468.3333,24500.0,,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Market data recovered; manual BCTC review remains required.""]",PARTIAL_PROVISIONAL_DATA,PROVISIONAL_LOW,PROVISIONAL_PRIMARY_ONLY,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,MANUAL_REVIEW,PROVISIONAL_LOW_NEEDS_MANUAL_REVIEW
ABR,Công ty Cổ phần Đầu tư Nhãn Hiệu Việt,HOSE,BLOCKED_INSUFFICIENT_MARKET_DATA,MANUAL_REVIEW,NEEDS_MANUAL_BCTC_REVIEW,RECOVERED_FROM_STEP26_BLOCKED,MANUAL_REVIEW,False,NOT_WATCHLIST_CANDIDATE,True,True,True,True,True,OK,OK,2026-06-11,12.4,800.0,2026-06-11,12.4,1015.0,1121.6667,800.0,,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Market data recovered; manual BCTC review remains required.""]",PARTIAL_PROVISIONAL_DATA,PROVISIONAL_LOW,PROVISIONAL_PRIMARY_ONLY,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,MANUAL_REVIEW,PROVISIONAL_LOW_NEEDS_MANUAL_REVIEW
ABS,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,HOSE,BLOCKED_INSUFFICIENT_MARKET_DATA,MANUAL_REVIEW,NEEDS_MANUAL_BCTC_REVIEW,RECOVERED_FROM_STEP26_BLOCKED,MANUAL_REVIEW,False,NOT_WATCHLIST_CANDIDATE,True,True,True,True,True,OK,OK,2026-06-12,2.93,31500.0,2026-06-12,2.93,191700.0,233640.0,31500.0,,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Market data recovered; manual BCTC review remains required.""]",PARTIAL_PROVISIONAL_DATA,PROVISIONAL_LOW,PROVISIONAL_PRIMARY_ONLY,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,MANUAL_REVIEW,PROVISIONAL_LOW_NEEDS_MANUAL_REVIEW
ABT,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,HOSE,BLOCKED_INSUFFICIENT_MARKET_DATA,MANUAL_REVIEW,NEEDS_MANUAL_BCTC_REVIEW,RECOVERED_FROM_STEP26_BLOCKED,MANUAL_REVIEW,False,NOT_WATCHLIST_CANDIDATE,True,True,True,True,True,OK,OK,2026-06-12,55.3,300.0,2026-06-12,55.3,5715.0,4940.4167,300.0,,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Market data recovered; manual BCTC review remains required.""]",PARTIAL_PROVISIONAL_DATA,PROVISIONAL_LOW,PROVISIONAL_PRIMARY_ONLY,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,MANUAL_REVIEW,PROVISIONAL_LOW_NEEDS_MANUAL_REVIEW
ABW,Công ty Cổ phần Chứng khoán An Bình,UPCoM,BLOCKED_INSUFFICIENT_MARKET_DATA,INSUFFICIENT_DATA,NEEDS_MANUAL_BCTC_REVIEW,RECOVERED_FROM_STEP26_BLOCKED,INSUFFICIENT_DATA,False,NOT_WATCHLIST_CANDIDATE,True,True,True,True,True,OK,OK,2026-06-12,11.3,157500.0,2026-06-12,11.3,95790.0,110163.3333,157500.0,,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Finance/company evidence remains insufficient after market refresh.""]",INSUFFICIENT_DATA,PROVISIONAL_LOW,PROVISIONAL_PRIMARY_ONLY,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,INSUFFICIENT_DATA,LOW_CONFIDENCE_FINANCE_DATA_GAP
AC4,Công ty Cổ phần ACC - 244,UPCoM,BLOCKED_INSUFFICIENT_MARKET_DATA,BLOCKED_INSUFFICIENT_MARKET_DATA,DATA_REPAIR_REQUIRED,STILL_BLOCKED_INSUFFICIENT_MARKET_DATA,REJECTED,False,NOT_WATCHLIST_CANDIDATE,False,False,False,False,False,FAILED,SOURCE_RATE_LIMIT_OR_TIMEOUT,,,,,,,,,,"[""avg_volume_20d"", ""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete."", ""STEP28 market refresh failed with error type: SOURCE_RATE_LIMIT_OR_TIMEOUT.""]",CACHE_MISSING,PROVISIONAL_LOW,PROVISIONAL_PRIMARY_ONLY,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,INSUFFICIENT_MARKET_DATA,LOW_CONFIDENCE_MARKET_DATA_GAP
ACB,Ngân hàng Thương mại Cổ phần Á Châu,HOSE,BLOCKED_INSUFFICIENT_MARKET_DATA,MANUAL_REVIEW,NEEDS_MANUAL_BCTC_REVIEW,RECOVERED_FROM_STEP26_BLOCKED,MANUAL_REVIEW,False,NOT_WATCHLIST_CANDIDATE,True,True,True,True,True,OK,OK,2026-06-12,26.5,61171200.0,2026-06-12,26.5,31256550.0,18688480.0,61171200.0,,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Market data recovered; manual BCTC review remains required.""]",PARTIAL_PROVISIONAL_DATA,PROVISIONAL_LOW,PROVISIONAL_PRIMARY_ONLY,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,MANUAL_REVIEW,PROVISIONAL_LOW_NEEDS_MANUAL_REVIEW
ACC,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,HOSE,BLOCKED_INSUFFICIENT_MARKET_DATA,MANUAL_REVIEW,NEEDS_MANUAL_BCTC_REVIEW,RECOVERED_FROM_STEP26_BLOCKED,MANUAL_REVIEW,False,NOT_WATCHLIST_CANDIDATE,True,True,True,True,True,OK,OK,2026-06-12,12.6,29300.0,2026-06-12,12.6,12310.0,64825.0,29300.0,,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Market data recovered; manual BCTC review remains required.""]",PARTIAL_PROVISIONAL_DATA,PROVISIONAL_LOW,PROVISIONAL_PRIMARY_ONLY,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,MANUAL_REVIEW,PROVISIONAL_LOW_NEEDS_MANUAL_REVIEW
ACE,Công ty Cổ phần Bê tông ly tâm An Giang,UPCoM,BLOCKED_INSUFFICIENT_MARKET_DATA,MANUAL_REVIEW,NEEDS_MANUAL_BCTC_REVIEW,RECOVERED_FROM_STEP26_BLOCKED,MANUAL_REVIEW,False,NOT_WATCHLIST_CANDIDATE,True,True,True,True,True,OK,OK,2026-06-08,36.0,800.0,2026-06-08,36.0,1675.0,1958.5833,800.0,,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Market data recovered; manual BCTC review remains required.""]",PARTIAL_PROVISIONAL_DATA,PROVISIONAL_LOW,PROVISIONAL_PRIMARY_ONLY,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,MANUAL_REVIEW,PROVISIONAL_LOW_NEEDS_MANUAL_REVIEW
ACG,Công ty Cổ phần Gỗ An Cường,HOSE,BLOCKED_INSUFFICIENT_MARKET_DATA,MANUAL_REVIEW,NEEDS_MANUAL_BCTC_REVIEW,RECOVERED_FROM_STEP26_BLOCKED,MANUAL_REVIEW,False,NOT_WATCHLIST_CANDIDATE,True,True,True,True,True,OK,OK,2026-06-12,33.45,3100.0,2026-06-12,33.45,4785.0,7861.6667,3100.0,,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Market data recovered; manual BCTC review remains required.""]",PARTIAL_PROVISIONAL_DATA,PROVISIONAL_LOW,PROVISIONAL_PRIMARY_ONLY,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,MANUAL_REVIEW,PROVISIONAL_LOW_NEEDS_MANUAL_REVIEW
