ticker,period,field_name,issue,manual_review_required,notes
NLG,2025,,MANUAL_REVIEW_REQUIRED,True,NO_NUMERIC_HEAVY_PAGES_FOUND
NLG,2025,revenue,FIELD_VALUE_AMBIGUOUS,True,FIELD_VALUE_NOT_FOUND
NLG,2025,equity,FIELD_VALUE_AMBIGUOUS,True,FIELD_VALUE_NOT_FOUND
NLG,2025,net_profit,FIELD_VALUE_AMBIGUOUS,True,FIELD_VALUE_NOT_FOUND
NLG,2025,,MANUAL_REVIEW_REQUIRED,True,TABLE_DUMP_ONLY_NOT_SEMANTICALLY_PARSED
SSI,2025,,DOCUMENT_NOT_TEXT_EXTRACTABLE,True,NO_TEXT_EXTRACTED_NO_OCR
SSI,2025,,MANUAL_REVIEW_REQUIRED,True,NO_NUMERIC_HEAVY_PAGES_FOUND
VGC,2026-Q1,,SKIPPED_UNSUPPORTED_FILE_TYPE,True,UNSUPPORTED_FILE_TYPE:html
HSG,2025-Q2,,SKIPPED_UNSUPPORTED_FILE_TYPE,True,UNSUPPORTED_FILE_TYPE:html;SOURCE_BLOCKED_OR_JS_REQUIRED
GMD,2026-Q1,,SKIPPED_UNSUPPORTED_FILE_TYPE,True,UNSUPPORTED_FILE_TYPE:html;SOURCE_BLOCKED_OR_JS_REQUIRED
GMD,2025-Q4,,SKIPPED_UNSUPPORTED_FILE_TYPE,True,UNSUPPORTED_FILE_TYPE:html;SOURCE_BLOCKED_OR_JS_REQUIRED
GMD,2025,,SKIPPED_UNSUPPORTED_FILE_TYPE,True,UNSUPPORTED_FILE_TYPE:html;SOURCE_BLOCKED_OR_JS_REQUIRED
FPT,2025,,SKIPPED_UNSUPPORTED_FILE_TYPE,True,UNSUPPORTED_FILE_TYPE:html
KDH,2026-Q1,,REVIEW_ONLY_STANDALONE,True,STANDALONE_REVIEW_REQUIRED
NLG,2026-Q1,,REVIEW_ONLY_STANDALONE,True,STANDALONE_REVIEW_REQUIRED
SSI,2026-Q1,,REVIEW_ONLY_STANDALONE,True,STANDALONE_REVIEW_REQUIRED
NLG,2025-Q4,,REVIEW_ONLY_STANDALONE,True,STANDALONE_REVIEW_REQUIRED
