ticker,primary_source_family,primary_last_price_date,primary_last_close,source_family,provider_name,provider_last_price_date,provider_last_close,price_date_gap_days,price_abs_diff,price_pct_diff,provider_is_current_enough,candidate_independent_from_primary,comparison_status,confidence_contribution,manual_review_flag
VNE,vnstock_vci,2026-06-11,3.01,vndirect_market,vnquant,,,,,,False,True,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
VOS,vnstock_vci,2026-06-11,11.8,vndirect_market,vnquant,,,,,,False,True,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
VTP,vnstock_vci,2026-06-11,64.0,vndirect_market,vnquant,,,,,,False,True,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
TLH,vnstock_vci,2026-06-11,4.38,vndirect_market,vnquant,,,,,,False,True,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
VIX,vnstock_vci,2026-06-11,16.85,unknown_brokerage_api,vietfin,,,,,,False,False,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
VND,vnstock_vci,2026-06-11,17.2,unknown_brokerage_api,vietfin,,,,,,False,False,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
VSC,vnstock_vci,2026-06-11,18.45,unknown_brokerage_api,vietfin,,,,,,False,False,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
VGI,vnstock_vci,2026-06-11,89.4,unknown_brokerage_api,vietfin,,,,,,False,False,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
VCG,vnstock_vci,2026-06-11,19.6,unknown_brokerage_api,vietfin,,,,,,False,False,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
VNM,vnstock_vci,2026-06-11,59.2,unknown_brokerage_api,vietfin,,,,,,False,False,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
TVN,vnstock_vci,2026-06-11,11.6,unknown_brokerage_api,vietfin,,,,,,False,False,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
VJC,vnstock_vci,2026-06-11,177.5,unknown_brokerage_api,vietfin,,,,,,False,False,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
VTZ,vnstock_vci,2026-06-11,20.5,unknown_brokerage_api,vietfin,,,,,,False,False,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
YEG,vnstock_vci,2026-06-11,8.53,unknown_brokerage_api,vietfin,,,,,,False,False,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
VCI,vnstock_vci,2026-06-11,23.4,unknown_brokerage_api,vietfin,,,,,,False,False,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
VFS,vnstock_vci,2026-06-11,10.3,unknown_brokerage_api,vietfin,,,,,,False,False,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
VDS,vnstock_vci,2026-06-11,13.85,unknown_brokerage_api,vietfin,,,,,,False,False,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
VIG,vnstock_vci,2026-06-11,4.4,unknown_brokerage_api,vietfin,,,,,,False,False,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
TVS,vnstock_vci,2026-06-11,12.95,unknown_brokerage_api,vietfin,,,,,,False,False,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
VRE,vnstock_vci,2026-06-11,29.15,unknown_brokerage_api,vietfin,,,,,,False,False,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
VNE,vnstock_vci,2026-06-11,3.01,unknown_brokerage_api,vietfin,,,,,,False,False,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
VOS,vnstock_vci,2026-06-11,11.8,unknown_brokerage_api,vietfin,,,,,,False,False,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
VTP,vnstock_vci,2026-06-11,64.0,unknown_brokerage_api,vietfin,,,,,,False,False,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
TLH,vnstock_vci,2026-06-11,4.38,unknown_brokerage_api,vietfin,,,,,,False,False,NO_PROVIDER_OBSERVATION,NO_CONFIDENCE_UPGRADE,False
VIX,vnstock_vci,2026-06-11,16.85,static_github_historical,vnstock_market_data,,,,,,False,False,HISTORICAL_FALLBACK_ONLY,NO_CONFIDENCE_UPGRADE,False
VND,vnstock_vci,2026-06-11,17.2,static_github_historical,vnstock_market_data,,,,,,False,False,HISTORICAL_FALLBACK_ONLY,NO_CONFIDENCE_UPGRADE,False
VSC,vnstock_vci,2026-06-11,18.45,static_github_historical,vnstock_market_data,,,,,,False,False,HISTORICAL_FALLBACK_ONLY,NO_CONFIDENCE_UPGRADE,False
VGI,vnstock_vci,2026-06-11,89.4,static_github_historical,vnstock_market_data,,,,,,False,False,HISTORICAL_FALLBACK_ONLY,NO_CONFIDENCE_UPGRADE,False
VCG,vnstock_vci,2026-06-11,19.6,static_github_historical,vnstock_market_data,,,,,,False,False,HISTORICAL_FALLBACK_ONLY,NO_CONFIDENCE_UPGRADE,False
VNM,vnstock_vci,2026-06-11,59.2,static_github_historical,vnstock_market_data,,,,,,False,False,HISTORICAL_FALLBACK_ONLY,NO_CONFIDENCE_UPGRADE,False
TVN,vnstock_vci,2026-06-11,11.6,static_github_historical,vnstock_market_data,,,,,,False,False,HISTORICAL_FALLBACK_ONLY,NO_CONFIDENCE_UPGRADE,False
VJC,vnstock_vci,2026-06-11,177.5,static_github_historical,vnstock_market_data,,,,,,False,False,HISTORICAL_FALLBACK_ONLY,NO_CONFIDENCE_UPGRADE,False
VTZ,vnstock_vci,2026-06-11,20.5,static_github_historical,vnstock_market_data,,,,,,False,False,HISTORICAL_FALLBACK_ONLY,NO_CONFIDENCE_UPGRADE,False
YEG,vnstock_vci,2026-06-11,8.53,static_github_historical,vnstock_market_data,,,,,,False,False,HISTORICAL_FALLBACK_ONLY,NO_CONFIDENCE_UPGRADE,False
