provider_name,source_family,ticker,attempt_status,network_allowed,network_used,optional_install_used,request_count,error_type,error_message,attempted_at,elapsed_seconds
vnquant,cafef_structured_or_market,VIX,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,cafef_structured_or_market,VND,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,cafef_structured_or_market,VSC,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,cafef_structured_or_market,VGI,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,cafef_structured_or_market,VCG,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,cafef_structured_or_market,VNM,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,cafef_structured_or_market,TVN,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,cafef_structured_or_market,VJC,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,cafef_structured_or_market,VTZ,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,cafef_structured_or_market,YEG,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,cafef_structured_or_market,VCI,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,cafef_structured_or_market,VFS,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,cafef_structured_or_market,VDS,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,cafef_structured_or_market,VIG,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,cafef_structured_or_market,TVS,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,cafef_structured_or_market,VRE,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,cafef_structured_or_market,VNE,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,cafef_structured_or_market,VOS,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,cafef_structured_or_market,VTP,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,cafef_structured_or_market,TLH,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,vndirect_market,VIX,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,vndirect_market,VND,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,vndirect_market,VSC,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,vndirect_market,VGI,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,vndirect_market,VCG,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,vndirect_market,VNM,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,vndirect_market,TVN,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,vndirect_market,VJC,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,vndirect_market,VTZ,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,vndirect_market,YEG,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,vndirect_market,VCI,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,vndirect_market,VFS,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
vnquant,vndirect_market,VDS,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vnquant is not importable.,2026-06-12T06:40:50+00:00,0.000255
