ticker,rank,url,attempt_status,http_status,row_count,error
VVS,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VVS.csv,FETCHED,200,182,
TSC,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TSC.csv,FETCHED,200,3922,
TNH,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TNH.csv,FETCHED,200,618,
TDC,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TDC.csv,FETCHED,200,3286,
VC2,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VC2.csv,FETCHED,200,4128,
TV1,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TV1.csv,FETCHED,200,3172,
VUA,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VUA.csv,FETCHED,200,355,
TTH,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TTH.csv,FETCHED,200,1670,
TDH,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TDH.csv,FETCHED,200,4120,
VNH,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VNH.csv,FETCHED,200,3297,
TLG,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TLG.csv,FETCHED,200,3310,
TVD,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TVD.csv,FETCHED,200,3111,
TPC,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TPC.csv,FETCHED,200,3882,
VPH,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VPH.csv,FETCHED,200,3446,
THD,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/THD.csv,FETCHED,200,759,
XMC,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/XMC.csv,FETCHED,200,2472,
TDG,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TDG.csv,FETCHED,200,1511,
VLC,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VLC.csv,FETCHED,200,1921,
VTV,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VTV.csv,FETCHED,200,4123,
VNB,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VNB.csv,FETCHED,200,1741,
TV4,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TV4.csv,FETCHED,200,3732,
VOC,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VOC.csv,FETCHED,200,1696,
VNP,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VNP.csv,FETCHED,200,1970,
VCS,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VCS.csv,FETCHED,200,3875,
VLF,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VLF.csv,FETCHED,200,3111,
VIS,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VIS.csv,PUBLIC_FILE_MISSING,404,0,HTTP Error 404: Not Found
THT,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/THT.csv,FETCHED,200,3666,
