ticker,period,local_path,file_hash,page_number,backend,text_char_count,has_finance_keywords,detected_unit,text_snippet,notes
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,1,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,2,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,3,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,4,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,5,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,6,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,7,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,8,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,9,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
FPT,2026-Q1,data\raw\official_finance_documents\01ie\fpt_2026_q1_financial_statement_5adaee07d5aa1c5a.pdf,5adaee07d5aa1c5a16b2992ac20db480dc03dd9c02e61d0f361e6df479ec7012,10,pypdf,0,False,,,DOCUMENT_NOT_TEXT_EXTRACTABLE
