ticker,period,document_type,source_url,candidate_url,issue,manual_review_required,priority,notes
VCB,DISCOVERY_REVIEW,filing_page,https://www.vietcombank.com.vn/vi-VN/Nha-dau-tu,https://www.vietcombank.com.vn/vi-VN/Nha-dau-tu/Phat-trien-ben-vung,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;SOURCE_HTML_SNAPSHOT_SAVED;SOURCE_FROM_ERROR_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
VCB,DISCOVERY_REVIEW,filing_page,https://www.vietcombank.com.vn/vi-VN/Nha-dau-tu,https://www.vietcombank.com.vn/vi-VN/KHUT/Dac-quyen,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_HTML_SNAPSHOT_SAVED;SOURCE_FROM_ERROR_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
VCB,DISCOVERY_REVIEW,filing_page,https://www.vietcombank.com.vn/vi-VN/Error-404,https://www.vietcombank.com.vn/vi-VN/Nha-dau-tu,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;SOURCE_HTML_SNAPSHOT_SAVED;SOURCE_FROM_ERROR_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,DISCOVERY_REVIEW,filing_page,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https://bidv.com.vn/vn/quan-he-nha-dau-tu,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,DISCOVERY_REVIEW,filing_page,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https://bidv.com.vn/wps/contenthandler/!ut/p/digest!s0Ct92FIOOQuP_hG2ajIjQ/sp/mashup:ra:collection?soffset=0&eoffset=6&themeID=ZJ_K9641I01O8R8006UTR9EQI1SV4&locale=en&mime-type=text%2Fcss&lm=1716895150000&entry=wp_contextmenu_css__0.0%3Ahead_css&entry=wp_federated_documents_picker__0.0%3Ahead_css&entry=wp_dnd_css__0.0%3Ahead_css&entry=wcm_inplaceEdit__0.0%3Ahead_css&entry=wp_content_targeting_cam__0.0%3Ahead_css&deferred=true,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,DISCOVERY_REVIEW,filing_page,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https://bidv.com.vn/vn/quan-he-nha-dau-tu/!ut/p/z0/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziLQwdjQydLYz8_YPcDAzMXA1MQo1DvE2dgkz0C7IdFQEuNXsn/,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,DISCOVERY_REVIEW,filing_page,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https://bidv.com.vn/vn/quan-he-nha-dau-tu/bao-cao-va-tai-lieu/,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,DISCOVERY_REVIEW,filing_page,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https://bidv.com.vn/vn/quan-he-nha-dau-tu/lich-su-kien/,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,DISCOVERY_REVIEW,filing_page,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https://bidv.com.vn/vn/quan-he-nha-dau-tu/co-phieu-bid/,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,DISCOVERY_REVIEW,filing_page,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https://bidv.com.vn/vn/quan-he-nha-dau-tu/thong-tin-tai-chinh/,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,DISCOVERY_REVIEW,filing_page,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https://bidv.com.vn/vn/quan-he-nha-dau-tu/thong-tin-co-dong,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,DISCOVERY_REVIEW,filing_page,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https://bidv.com.vn/vn/quan-he-nha-dau-tu/quan-tri-doanh-nghiep,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
