ticker,dataset_name,status,reason,notes
VND,financial_statement_summary,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=net_profit; not_applicable_fields=gross_profit,inventory",recorded by REAL-DATA-01; no fabricated data
GAS,financial_statement_summary,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=net_profit; not_applicable_fields=gross_profit,inventory",recorded by REAL-DATA-01; no fabricated data
PVS,financial_statement_summary,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=net_profit; not_applicable_fields=gross_profit,inventory",recorded by REAL-DATA-01; no fabricated data
FPT,financial_statement_summary,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=net_profit; not_applicable_fields=gross_profit,inventory",recorded by REAL-DATA-01; no fabricated data
MWG,financial_statement_summary,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=net_profit; not_applicable_fields=gross_profit,inventory",recorded by REAL-DATA-01; no fabricated data
VGC,financial_statement_summary,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=net_profit; not_applicable_fields=gross_profit,inventory",recorded by REAL-DATA-01; no fabricated data
GMD,financial_statement_summary,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=net_profit; not_applicable_fields=gross_profit,inventory",recorded by REAL-DATA-01; no fabricated data
VHC,financial_statement_summary,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=net_profit; not_applicable_fields=gross_profit,inventory",recorded by REAL-DATA-01; no fabricated data
TCM,financial_statement_summary,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=net_profit; not_applicable_fields=gross_profit,inventory",recorded by REAL-DATA-01; no fabricated data
VCB,disclosure_status,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure",recorded by REAL-DATA-01; no fabricated data
BID,disclosure_status,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure",recorded by REAL-DATA-01; no fabricated data
CTG,disclosure_status,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure",recorded by REAL-DATA-01; no fabricated data
MBB,disclosure_status,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure",recorded by REAL-DATA-01; no fabricated data
ACB,disclosure_status,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure",recorded by REAL-DATA-01; no fabricated data
HPG,disclosure_status,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure",recorded by REAL-DATA-01; no fabricated data
HSG,disclosure_status,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure",recorded by REAL-DATA-01; no fabricated data
VHM,disclosure_status,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure",recorded by REAL-DATA-01; no fabricated data
KDH,disclosure_status,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure",recorded by REAL-DATA-01; no fabricated data
