dataset_name,ticker,issue,notes
financial_statement_summary,FPT,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=net_profit; not_applicable_fields=gross_profit,inventory"
financial_statement_summary,MWG,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=net_profit; not_applicable_fields=gross_profit,inventory"
financial_statement_summary,VGC,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=net_profit; not_applicable_fields=gross_profit,inventory"
financial_statement_summary,GMD,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=net_profit; not_applicable_fields=gross_profit,inventory"
financial_statement_summary,VHC,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=net_profit; not_applicable_fields=gross_profit,inventory"
financial_statement_summary,TCM,PARTIAL_FINANCIAL_FIELDS,"warnings=FINANCIAL_FIELD_UNMAPPED:net_profit|FINANCIAL_PARTIAL_ROW|BANK_FINANCIAL_SCHEMA_PARTIAL; missing_fields=net_profit; not_applicable_fields=gross_profit,inventory"
disclosure_status,VCB,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure"
disclosure_status,BID,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure"
disclosure_status,CTG,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure"
disclosure_status,MBB,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure"
disclosure_status,ACB,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure"
disclosure_status,HPG,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure"
disclosure_status,HSG,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure"
disclosure_status,VHM,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure"
disclosure_status,KDH,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure"
disclosure_status,NLG,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure"
disclosure_status,SSI,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure"
disclosure_status,VND,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure"
disclosure_status,GAS,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure"
disclosure_status,PVS,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure"
disclosure_status,FPT,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure"
disclosure_status,MWG,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure"
disclosure_status,VGC,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure"
disclosure_status,GMD,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure"
disclosure_status,VHC,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure"
disclosure_status,TCM,DISCLOSURE_DATA_UNAVAILABLE,"real source unavailable or budget exhausted; no disclosure is unknown, not clean; use data/templates/disclosure_status_template.csv or --input-disclosure"
coverage_report,,MANUAL_REVIEW,"required_fields=ticker,date,close,volume,trading_value; stale data present; low confidence rows present; manual review rows present"
coverage_report,,MISSING_DATA,"required_fields=ticker,period,revenue,net_profit,equity,total_assets,total_liabilities; missing required values present; low confidence rows present; manual review rows present"
production_universe_builder,VCB,MISSING_FINANCIAL_DATA,
production_universe_builder,VCB,MARKET_DATA_QUALITY_REVIEW,
production_universe_builder,VCB,FINANCIAL_DATA_QUALITY_REVIEW,
production_universe_builder,BID,MISSING_FINANCIAL_DATA,
production_universe_builder,BID,MARKET_DATA_QUALITY_REVIEW,
production_universe_builder,BID,FINANCIAL_DATA_QUALITY_REVIEW,
production_universe_builder,CTG,MISSING_FINANCIAL_DATA,
