source_name,source_category,dataset_name,probe_status,http_status_or_error,is_accessible,requires_js,requires_login,blocked_or_captcha,schema_detected,supported_fields,unsupported_fields,sample_url,notes
vnstock:vci:finance,vnstock,financial_statement_summary,SOURCE_AVAILABLE,,True,False,False,False,True,revenue|gross_profit|operating_profit|net_profit|total_assets|total_liabilities|equity|cash|short_term_debt|long_term_debt|operating_cash_flow|inventory,missing fields remain missing,https://vnstocks.com/,vnstock package dependency available
cafef:finance_web,cafef,financial_statement_summary,SOURCE_UNAVAILABLE,404,False,False,False,False,False,,missing fields remain missing,https://s.cafef.vn/hose/VCB.chn,web source probed; schema parser not yet trusted
vietstock:finance_web,vietstock,financial_statement_summary,SOURCE_BLOCKED_OR_JS_REQUIRED,200,False,True,False,True,False,,missing fields remain missing,https://finance.vietstock.vn/VCB/tai-chinh.htm,web source probed; schema parser not yet trusted
company_ir:discovery,company_ir,financial_statement_summary,SOURCE_SCHEMA_UNKNOWN,,False,False,False,False,False,,missing fields remain missing,,no public URL template configured; source-backed manual discovery required
annual_report_pdf:discovery,annual_report_pdf,financial_statement_summary,SOURCE_SCHEMA_UNKNOWN,,False,False,False,False,False,,missing fields remain missing,,no public URL template configured; source-backed manual discovery required
exchange_filing:discovery,exchange_filing,financial_statement_summary,SOURCE_SCHEMA_UNKNOWN,,False,False,False,False,False,,missing fields remain missing,,no public URL template configured; source-backed manual discovery required
