dataset_name,record_key,ticker,field_name,observed_values,source_categories,source_names,conflict_status,manual_review_required,notes
disclosure_status,ticker=VND|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,VND,title,SOURCE_SSL_FAILED|SOURCE_BLOCKED_OR_JS_REQUIRED,hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=VND|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,VND,description,public HTML table probe for official disclosure/status list|secondary/discovery-only source; no official status-list parser selected,hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=GAS|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,GAS,source,hnx|ssc,hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=GAS|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,GAS,source_url,"https://www.hnx.vn/co-phieu-etfs/chung-khoan-uc-canh-bao-ndt.html, https://www.upboard.hnx.vn/co-phieu-etfs/chung-khoan-ny-khong-ky-quy.html, https://www.hnx.vn/co-phieu-etfs/chung-khoan-ny-thong-tin.html|https://www.ssc.gov.vn/",hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=GAS|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,GAS,title,SOURCE_SSL_FAILED|SOURCE_BLOCKED_OR_JS_REQUIRED,hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=GAS|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,GAS,description,public HTML table probe for official disclosure/status list|secondary/discovery-only source; no official status-list parser selected,hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=PVS|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,PVS,source,hnx|ssc,hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=PVS|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,PVS,source_url,"https://www.hnx.vn/co-phieu-etfs/chung-khoan-uc-canh-bao-ndt.html, https://www.upboard.hnx.vn/co-phieu-etfs/chung-khoan-ny-khong-ky-quy.html, https://www.hnx.vn/co-phieu-etfs/chung-khoan-ny-thong-tin.html|https://www.ssc.gov.vn/",hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=PVS|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,PVS,title,SOURCE_SSL_FAILED|SOURCE_BLOCKED_OR_JS_REQUIRED,hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=PVS|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,PVS,description,public HTML table probe for official disclosure/status list|secondary/discovery-only source; no official status-list parser selected,hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
