source_name,source_category,source_url,fetched_at,http_status,content_type,content_hash,snapshot_path,parser_used,parse_status,notes
cafef:finance_web,cafef,https://s.cafef.vn/hose/VCB.chn,2026-06-06T01:14:33+00:00,404,text/html,dc1d54dab6ec8c00f70137927504e4f222c8395f10760b6beecfcfa94e08249f,data\raw\source_snapshots\01i\cafef_cafef_finance_web_dc1d54dab6ec8c00.html,cafef_finance_discovery,SOURCE_UNAVAILABLE,01I discovery snapshot; no numeric parsing unless schema is deterministic
vietstock:finance_web,vietstock,https://finance.vietstock.vn/VCB/tai-chinh.htm,2026-06-06T01:14:34+00:00,200,text/html; charset=utf-8,07f4976b0402875a3e9aed698a59b4b3acba4977883a0dda59ec21a4a8cd2cbc,,vietstock_finance_discovery,SOURCE_BLOCKED_OR_JS_REQUIRED,01I discovery snapshot; no numeric parsing unless schema is deterministic
