ticker,market_source_confidence,finance_source_confidence,crosscheck_status,verification_status,timing_risk_score,timing_risk_bucket,entry_timing_quality,price_action_context,technical_warning_flags,timing_confidence,timing_manual_review_required,liquidity_risk_score,liquidity_risk_bucket,liquidity_quality,liquidity_warning_flags,liquidity_confidence,liquidity_manual_review_required,manual_review_required,manual_review_reason,missing_fields,evidence_debt_reason,last_price_date,last_close,avg_volume_20d,avg_volume_60d,last_volume,stale_days,trading_days_60d,recent_trading_value
VIX,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,45,TIMING_RISK_MODERATE,NEUTRAL_PRICE_ACTION,CURRENT_PRICE_CONTEXT_ONLY,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False,25,LIQUIDITY_RISK_LOW,LIQUIDITY_STRONG,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",MEDIUM,False,True,Prior L5 context requires manual review.,[],"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]",2026-06-11,16.85,37589135.0,38012534.3167,28072000.0,0,60,633376924.75
VND,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,45,TIMING_RISK_MODERATE,NEUTRAL_PRICE_ACTION,CURRENT_PRICE_CONTEXT_ONLY,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False,25,LIQUIDITY_RISK_LOW,LIQUIDITY_STRONG,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",MEDIUM,False,True,Prior L5 context requires manual review.,[],"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]",2026-06-11,17.2,19177213.55,13594958.6667,11655200.0,0,60,329848073.06
VSC,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,45,TIMING_RISK_MODERATE,NEUTRAL_PRICE_ACTION,CURRENT_PRICE_CONTEXT_ONLY,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False,45,LIQUIDITY_RISK_MODERATE,LIQUIDITY_ACCEPTABLE,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",LOW,False,True,Prior L5 context requires manual review.,[],"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]",2026-06-11,18.45,3310805.0,4819121.6667,2013800.0,0,60,61084352.25
VGI,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,45,TIMING_RISK_MODERATE,NEUTRAL_PRICE_ACTION,CURRENT_PRICE_CONTEXT_ONLY,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False,45,LIQUIDITY_RISK_MODERATE,LIQUIDITY_ACCEPTABLE,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",LOW,False,True,Prior L5 context requires manual review.,[],"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]",2026-06-11,89.4,811425.0,749600.0,348800.0,0,60,72541395.0
VCG,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,45,TIMING_RISK_MODERATE,NEUTRAL_PRICE_ACTION,CURRENT_PRICE_CONTEXT_ONLY,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False,45,LIQUIDITY_RISK_MODERATE,LIQUIDITY_ACCEPTABLE,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",LOW,False,True,Prior L5 context requires manual review.,[],"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]",2026-06-11,19.6,3771185.0,8778986.6667,1538900.0,0,60,73915226.0
VNM,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,45,TIMING_RISK_MODERATE,NEUTRAL_PRICE_ACTION,CURRENT_PRICE_CONTEXT_ONLY,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False,25,LIQUIDITY_RISK_LOW,LIQUIDITY_STRONG,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",MEDIUM,False,True,Prior L5 context requires manual review.,[],"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]",2026-06-11,59.2,2920120.0,3562053.3333,1804500.0,0,60,172871104.0
TVN,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,45,TIMING_RISK_MODERATE,NEUTRAL_PRICE_ACTION,CURRENT_PRICE_CONTEXT_ONLY,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False,45,LIQUIDITY_RISK_MODERATE,LIQUIDITY_ACCEPTABLE,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",LOW,False,True,Prior L5 context requires manual review.,[],"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]",2026-06-11,11.6,1312470.0,792523.3333,1129100.0,0,60,15224652.0
VJC,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,45,TIMING_RISK_MODERATE,NEUTRAL_PRICE_ACTION,CURRENT_PRICE_CONTEXT_ONLY,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False,25,LIQUIDITY_RISK_LOW,LIQUIDITY_STRONG,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",MEDIUM,False,True,Prior L5 context requires manual review.,[],"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]",2026-06-11,177.5,1103555.0,1256716.6667,817800.0,0,60,195881012.5
VTZ,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,45,TIMING_RISK_MODERATE,NEUTRAL_PRICE_ACTION,CURRENT_PRICE_CONTEXT_ONLY,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False,45,LIQUIDITY_RISK_MODERATE,LIQUIDITY_ACCEPTABLE,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",LOW,False,True,Prior L5 context requires manual review.,[],"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]",2026-06-11,20.5,1022065.0,1063093.3333,844300.0,0,60,20952332.5
YEG,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,45,TIMING_RISK_MODERATE,NEUTRAL_PRICE_ACTION,CURRENT_PRICE_CONTEXT_ONLY,"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]",LOW,False,45,LIQUIDITY_RISK_MODERATE,LIQUIDITY_ACCEPTABLE,"[""PRIMARY_ONLY_LIQUIDITY_DATA""]",LOW,False,True,Prior L5 context requires manual review.,[],"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]",2026-06-11,8.53,652105.35,924037.0,549300.0,0,60,5562458.6355
