ticker,primary_last_price_date,primary_last_close,primary_avg_volume_20d,primary_avg_volume_60d,primary_trading_days_60d,reference_source_name,reference_last_price_date,reference_last_close,reference_avg_volume_20d,reference_avg_volume_60d,price_date_gap_days,price_abs_diff,price_pct_diff,volume_60d_pct_diff,reference_is_current_enough,reference_is_stale,comparison_status,comparison_reason,manual_review_flag
TVN,2026-06-11,11.6,1312470.0,792523.3333,60,provisional_crosscheck_02_public_historical,2023-06-30,6200.0,675870.0,463705.0,1077,6188.4,-0.998129,0.709111,False,True,WARN_REFERENCE_STALE,Public historical fallback is stale and not current confirmation.,False
TVN,2026-06-11,11.6,1312470.0,792523.3333,60,provisional_crosscheck_02_legacy_market,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
TVN,2026-06-11,11.6,1312470.0,792523.3333,60,legacy_cafef_vnstock_cache,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VJC,2026-06-11,177.5,1103555.0,1256716.6667,60,raw_cache_current_market_03,2026-06-11,177.5,1103555.0,1256716.6667,0,0.0,0.0,0.0,True,False,PASS_MATCH_OR_REFERENCE_STALE_BUT_PRIMARY_FRESH,Reference check does not show a severe current mismatch.,False
VJC,2026-06-11,177.5,1103555.0,1256716.6667,60,provisional_crosscheck_02_public_historical,2023-06-30,94300.0,756090.0,534961.6667,1077,94122.5,-0.998118,1.349171,False,True,WARN_REFERENCE_STALE,Public historical fallback is stale and not current confirmation.,False
VJC,2026-06-11,177.5,1103555.0,1256716.6667,60,provisional_crosscheck_02_legacy_market,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VJC,2026-06-11,177.5,1103555.0,1256716.6667,60,legacy_cafef_vnstock_cache,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VTZ,2026-06-11,20.5,1022065.0,1063093.3333,60,raw_cache_current_market_03,2026-06-11,20.5,1022065.0,1063093.3333,0,0.0,0.0,0.0,True,False,PASS_MATCH_OR_REFERENCE_STALE_BUT_PRIMARY_FRESH,Reference check does not show a severe current mismatch.,False
VTZ,2026-06-11,20.5,1022065.0,1063093.3333,60,provisional_crosscheck_02_public_historical,2023-06-30,8200.0,33235.0,29993.3333,1077,8179.5,-0.9975,34.444321,False,True,WARN_REFERENCE_STALE,Public historical fallback is stale and not current confirmation.,False
VTZ,2026-06-11,20.5,1022065.0,1063093.3333,60,provisional_crosscheck_02_legacy_market,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VTZ,2026-06-11,20.5,1022065.0,1063093.3333,60,legacy_cafef_vnstock_cache,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
YEG,2026-06-11,8.53,652105.35,924037.0,60,raw_cache_current_market_03,2026-06-11,8.53,652105.35,924037.0,0,0.0,0.0,0.0,True,False,PASS_MATCH_OR_REFERENCE_STALE_BUT_PRIMARY_FRESH,Reference check does not show a severe current mismatch.,False
YEG,2026-06-11,8.53,652105.35,924037.0,60,provisional_crosscheck_02_public_historical,2023-06-30,14000.0,127085.0,97916.6667,1077,13991.47,-0.999391,8.436974,False,True,WARN_REFERENCE_STALE,Public historical fallback is stale and not current confirmation.,False
YEG,2026-06-11,8.53,652105.35,924037.0,60,provisional_crosscheck_02_legacy_market,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
YEG,2026-06-11,8.53,652105.35,924037.0,60,legacy_cafef_vnstock_cache,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VCI,2026-06-11,23.4,6277985.0,8458236.95,60,raw_cache_current_market_03,2026-06-11,23.4,6277985.0,8458236.95,0,0.0,0.0,0.0,True,False,PASS_MATCH_OR_REFERENCE_STALE_BUT_PRIMARY_FRESH,Reference check does not show a severe current mismatch.,False
VCI,2026-06-11,23.4,6277985.0,8458236.95,60,provisional_crosscheck_02_public_historical,2023-06-30,36600.0,5320650.0,5030320.0,1077,36576.6,-0.999361,0.681451,False,True,WARN_REFERENCE_STALE,Public historical fallback is stale and not current confirmation.,False
VCI,2026-06-11,23.4,6277985.0,8458236.95,60,provisional_crosscheck_02_legacy_market,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VCI,2026-06-11,23.4,6277985.0,8458236.95,60,legacy_cafef_vnstock_cache,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VFS,2026-06-11,10.3,1456764.5,1405374.4,60,raw_cache_current_market_03,2026-06-11,10.3,1456764.5,1405374.4,0,0.0,0.0,0.0,True,False,PASS_MATCH_OR_REFERENCE_STALE_BUT_PRIMARY_FRESH,Reference check does not show a severe current mismatch.,False
VFS,2026-06-11,10.3,1456764.5,1405374.4,60,provisional_crosscheck_02_public_historical,2023-06-30,21400.0,200220.0,146956.6667,1077,21389.7,-0.999519,8.563189,False,True,WARN_REFERENCE_STALE,Public historical fallback is stale and not current confirmation.,False
VFS,2026-06-11,10.3,1456764.5,1405374.4,60,provisional_crosscheck_02_legacy_market,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VFS,2026-06-11,10.3,1456764.5,1405374.4,60,legacy_cafef_vnstock_cache,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VDS,2026-06-11,13.85,496080.0,672768.3333,60,raw_cache_current_market_03,2026-06-11,13.85,496080.0,672768.3333,0,0.0,0.0,0.0,True,False,PASS_MATCH_OR_REFERENCE_STALE_BUT_PRIMARY_FRESH,Reference check does not show a severe current mismatch.,False
VDS,2026-06-11,13.85,496080.0,672768.3333,60,provisional_crosscheck_02_public_historical,2023-06-30,13650.0,848545.0,1003775.0,1077,13636.15,-0.998985,-0.329762,False,True,WARN_REFERENCE_STALE,Public historical fallback is stale and not current confirmation.,False
VDS,2026-06-11,13.85,496080.0,672768.3333,60,provisional_crosscheck_02_legacy_market,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VDS,2026-06-11,13.85,496080.0,672768.3333,60,legacy_cafef_vnstock_cache,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VIG,2026-06-11,4.4,46965.0,61148.3333,60,raw_cache_current_market_03,2026-06-11,4.4,46965.0,61148.3333,0,0.0,0.0,0.0,True,False,PASS_MATCH_OR_REFERENCE_STALE_BUT_PRIMARY_FRESH,Reference check does not show a severe current mismatch.,False
VIG,2026-06-11,4.4,46965.0,61148.3333,60,provisional_crosscheck_02_public_historical,2023-06-30,7600.0,717395.0,666396.6667,1077,7595.6,-0.999421,-0.90824,False,True,WARN_REFERENCE_STALE,Public historical fallback is stale and not current confirmation.,False
VIG,2026-06-11,4.4,46965.0,61148.3333,60,provisional_crosscheck_02_legacy_market,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
VIG,2026-06-11,4.4,46965.0,61148.3333,60,legacy_cafef_vnstock_cache,,,,,,,,,False,True,WARN_REFERENCE_MISSING,Reference row exists but lacks last price or date.,False
