source_name,source_category,dataset_name,ticker,action,status,row_count,http_status_or_error,source_url,notes
vnstock,vnstock,financial_statement_summary,VCB,fetch_finance,SOURCE_PARSE_FAILED,0,"ImportError:No charting library available. Please install one of:
1. vnstock_chart (recommended): pip install --extra-index-url https://vnstocks.com/api/simple vnstock_chart
2. vnstock_ezchart (fallback): pip install vnstock_ezchart",https://vnstocks.com/,vnstock finance fetch failed
vnstock,vnstock,financial_statement_summary,BID,fetch_finance,ROWS_PARSED,3,,https://vnstocks.com/,FINANCIAL_FIELD_UNMAPPED:revenue;FINANCIAL_FIELD_UNMAPPED:operating_profit;FINANCIAL_FIELD_UNMAPPED:net_profit;FINANCIAL_FIELD_UNMAPPED:cash;FINANCIAL_FIELD_UNMAPPED:short_term_debt;FINANCIAL_FIELD_UNMAPPED:long_term_debt;FINANCIAL_FIELD_UNMAPPED:operating_cash_flow;FINANCIAL_PARTIAL_ROW;BANK_FINANCIAL_SCHEMA_PARTIAL
vnstock,vnstock,financial_statement_summary,CTG,fetch_finance,ROWS_PARSED,3,,https://vnstocks.com/,FINANCIAL_FIELD_UNMAPPED:revenue;FINANCIAL_FIELD_UNMAPPED:operating_profit;FINANCIAL_FIELD_UNMAPPED:net_profit;FINANCIAL_FIELD_UNMAPPED:cash;FINANCIAL_FIELD_UNMAPPED:short_term_debt;FINANCIAL_FIELD_UNMAPPED:long_term_debt;FINANCIAL_FIELD_UNMAPPED:operating_cash_flow;FINANCIAL_PARTIAL_ROW;BANK_FINANCIAL_SCHEMA_PARTIAL
vnstock,vnstock,financial_statement_summary,MBB,fetch_finance,ROWS_PARSED,3,,https://vnstocks.com/,FINANCIAL_FIELD_UNMAPPED:revenue;FINANCIAL_FIELD_UNMAPPED:operating_profit;FINANCIAL_FIELD_UNMAPPED:net_profit;FINANCIAL_FIELD_UNMAPPED:cash;FINANCIAL_FIELD_UNMAPPED:short_term_debt;FINANCIAL_FIELD_UNMAPPED:long_term_debt;FINANCIAL_FIELD_UNMAPPED:operating_cash_flow;FINANCIAL_PARTIAL_ROW;BANK_FINANCIAL_SCHEMA_PARTIAL
vnstock,vnstock,financial_statement_summary,ACB,fetch_finance,ROWS_PARSED,3,,https://vnstocks.com/,FINANCIAL_FIELD_UNMAPPED:revenue;FINANCIAL_FIELD_UNMAPPED:operating_profit;FINANCIAL_FIELD_UNMAPPED:net_profit;FINANCIAL_FIELD_UNMAPPED:cash;FINANCIAL_FIELD_UNMAPPED:short_term_debt;FINANCIAL_FIELD_UNMAPPED:long_term_debt;FINANCIAL_FIELD_UNMAPPED:operating_cash_flow;FINANCIAL_PARTIAL_ROW;BANK_FINANCIAL_SCHEMA_PARTIAL
vnstock,vnstock,financial_statement_summary,HPG,fetch_finance,ROWS_PARSED,9,,https://vnstocks.com/,FINANCIAL_FIELD_UNMAPPED:net_profit;FINANCIAL_PARTIAL_ROW;BANK_FINANCIAL_SCHEMA_PARTIAL
vnstock,vnstock,financial_statement_summary,HSG,fetch_finance,ROWS_PARSED,9,,https://vnstocks.com/,FINANCIAL_FIELD_UNMAPPED:net_profit;FINANCIAL_PARTIAL_ROW;BANK_FINANCIAL_SCHEMA_PARTIAL
vnstock,vnstock,financial_statement_summary,VHM,fetch_finance,ROWS_PARSED,9,,https://vnstocks.com/,FINANCIAL_FIELD_UNMAPPED:net_profit;FINANCIAL_PARTIAL_ROW;BANK_FINANCIAL_SCHEMA_PARTIAL
vnstock,vnstock,financial_statement_summary,KDH,fetch_finance,ROWS_PARSED,9,,https://vnstocks.com/,FINANCIAL_FIELD_UNMAPPED:net_profit;FINANCIAL_PARTIAL_ROW;BANK_FINANCIAL_SCHEMA_PARTIAL
vnstock,vnstock,financial_statement_summary,NLG,fetch_finance,ROWS_PARSED,9,,https://vnstocks.com/,FINANCIAL_FIELD_UNMAPPED:net_profit;FINANCIAL_PARTIAL_ROW;BANK_FINANCIAL_SCHEMA_PARTIAL
