ticker,period,period_type,field_name,value,unit,currency,source_category,source_name,source_url,fetch_time,confidence_raw,raw_label,raw_value,notes
BID,2026-Q1,quarter,total_assets,3388221517000000.0,,VND,vnstock,vnstock:vci:finance,https://vnstocks.com/,2026-06-05T03:17:54+00:00,low,total_assets,3388221517000000.0,"MISSING_FINANCIAL_FIELD:revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
BID,2026-Q1,quarter,total_liabilities,3197598357000000.0,,VND,vnstock,vnstock:vci:finance,https://vnstocks.com/,2026-06-05T03:17:54+00:00,low,total_liabilities,3197598357000000.0,"MISSING_FINANCIAL_FIELD:revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
BID,2026-Q1,quarter,equity,190623160000000.0,,VND,vnstock,vnstock:vci:finance,https://vnstocks.com/,2026-06-05T03:17:54+00:00,low,equity,190623160000000.0,"MISSING_FINANCIAL_FIELD:revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
CTG,2026-Q1,quarter,total_assets,2924176928000000.0,,VND,vnstock,vnstock:vci:finance,https://vnstocks.com/,2026-06-05T03:18:13+00:00,low,total_assets,2924176928000000.0,"MISSING_FINANCIAL_FIELD:revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
CTG,2026-Q1,quarter,total_liabilities,2735484770000000.0,,VND,vnstock,vnstock:vci:finance,https://vnstocks.com/,2026-06-05T03:18:13+00:00,low,total_liabilities,2735484770000000.0,"MISSING_FINANCIAL_FIELD:revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
CTG,2026-Q1,quarter,equity,188692158000000.0,,VND,vnstock,vnstock:vci:finance,https://vnstocks.com/,2026-06-05T03:18:13+00:00,low,equity,188692158000000.0,"MISSING_FINANCIAL_FIELD:revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
MBB,2026-Q1,quarter,total_assets,1611222764000000.0,,VND,vnstock,vnstock:vci:finance,https://vnstocks.com/,2026-06-05T03:18:29+00:00,low,total_assets,1611222764000000.0,"MISSING_FINANCIAL_FIELD:revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
MBB,2026-Q1,quarter,total_liabilities,1461477439000000.0,,VND,vnstock,vnstock:vci:finance,https://vnstocks.com/,2026-06-05T03:18:29+00:00,low,total_liabilities,1461477439000000.0,"MISSING_FINANCIAL_FIELD:revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
MBB,2026-Q1,quarter,equity,149745325000000.0,,VND,vnstock,vnstock:vci:finance,https://vnstocks.com/,2026-06-05T03:18:29+00:00,low,equity,149745325000000.0,"MISSING_FINANCIAL_FIELD:revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
ACB,2026-Q1,quarter,total_assets,1030900741000000.0,,VND,vnstock,vnstock:vci:finance,https://vnstocks.com/,2026-06-05T03:18:44+00:00,low,total_assets,1030900741000000.0,"MISSING_FINANCIAL_FIELD:revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
ACB,2026-Q1,quarter,total_liabilities,932149689000000.0,,VND,vnstock,vnstock:vci:finance,https://vnstocks.com/,2026-06-05T03:18:44+00:00,low,total_liabilities,932149689000000.0,"MISSING_FINANCIAL_FIELD:revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
ACB,2026-Q1,quarter,equity,98751052000000.0,,VND,vnstock,vnstock:vci:finance,https://vnstocks.com/,2026-06-05T03:18:44+00:00,low,equity,98751052000000.0,"MISSING_FINANCIAL_FIELD:revenue,operating_profit,net_profit,cash,short_term_debt,long_term_debt,operating_cash_flow; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
HPG,2026-Q1,quarter,revenue,53312910120686.0,,VND,vnstock,vnstock:vci:finance,https://vnstocks.com/,2026-06-05T03:19:00+00:00,low,revenue,53312910120686.0,"MISSING_FINANCIAL_FIELD:net_profit; NOT_APPLICABLE:gross_profit,inventory; source values mapped only when explicitly present; no missing values fabricated"
