snapshot_id,snapshot_created_at,ticker,company_name,micro_sector,watchlist_status,confidence_score,manual_review_required,missing_fields,source_conflicts,reject_reason,cycle_status,survival_status,valuation_context,timing_liquidity_status,market_source_confidence,finance_source_confidence,crosscheck_status,verification_status,history_role
snapshot_20260612_112532+0000,2026-06-12T11:25:32+00:00,VCI,Công ty Cổ phần Chứng khoán Vietcap,Tài chính::securities,WATCH_ONLY,45,True,[],[],UNKNOWN,INSUFFICIENT_DATA,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,VALUATION_CONTEXT_INSUFFICIENT_DATA,TIMING_RISK_MODERATE|LIQUIDITY_RISK_LOW,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,CURRENT
snapshot_20260612_112532+0000,2026-06-12T11:25:32+00:00,VFS,Công ty Cổ phần Chứng khoán Nhất Việt,Tài chính::securities,MANUAL_REVIEW,40,True,[],[],UNKNOWN,INSUFFICIENT_DATA,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,VALUATION_CONTEXT_INSUFFICIENT_DATA,TIMING_RISK_MODERATE|LIQUIDITY_RISK_MODERATE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,CURRENT
snapshot_20260612_112532+0000,2026-06-12T11:25:32+00:00,VDS,Công ty Cổ phần Chứng khoán Rồng Việt,Tài chính::securities,MANUAL_REVIEW,40,True,[],[],UNKNOWN,INSUFFICIENT_DATA,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,VALUATION_CONTEXT_INSUFFICIENT_DATA,TIMING_RISK_MODERATE|LIQUIDITY_RISK_MODERATE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,CURRENT
snapshot_20260612_112532+0000,2026-06-12T11:25:32+00:00,VIG,Công ty Cổ phần Chứng khoán Đầu tư Tài chính Việt Nam,Tài chính::securities,MANUAL_REVIEW,40,True,[],[],UNKNOWN,INSUFFICIENT_DATA,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,VALUATION_CONTEXT_INSUFFICIENT_DATA,TIMING_RISK_MODERATE|LIQUIDITY_RISK_MODERATE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,CURRENT
snapshot_20260612_112532+0000,2026-06-12T11:25:32+00:00,TVS,Công ty Cổ phần Chứng khoán Thiên Việt,Tài chính::securities,MANUAL_REVIEW,40,True,[],[],UNKNOWN,INSUFFICIENT_DATA,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,VALUATION_CONTEXT_INSUFFICIENT_DATA,TIMING_RISK_MODERATE|LIQUIDITY_RISK_MODERATE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,CURRENT
snapshot_20260612_112532+0000,2026-06-12T11:25:32+00:00,VRE,Công ty Cổ phần Vincom Retail,Tài chính::real_estate,WATCH_ONLY,47,True,"[""net_income""]",[],UNKNOWN,INSUFFICIENT_DATA,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,VALUATION_CONTEXT_MANUAL_REVIEW,TIMING_RISK_MODERATE|LIQUIDITY_RISK_LOW,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,CURRENT
snapshot_20260612_112532+0000,2026-06-12T11:25:32+00:00,VNE,Tổng Công ty Cổ phần Xây dựng điện Việt Nam,Công nghiệp::non_financial,MANUAL_REVIEW,37,True,"[""net_income""]",[],UNKNOWN,INSUFFICIENT_DATA,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,VALUATION_CONTEXT_INSUFFICIENT_DATA,TIMING_RISK_MODERATE|LIQUIDITY_RISK_MODERATE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,CURRENT
snapshot_20260612_112532+0000,2026-06-12T11:25:32+00:00,VOS,Công ty Cổ phần Vận tải Biển Việt Nam,Công nghiệp::non_financial,MANUAL_REVIEW,37,True,"[""net_income""]",[],UNKNOWN,INSUFFICIENT_DATA,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,VALUATION_CONTEXT_INSUFFICIENT_DATA,TIMING_RISK_MODERATE|LIQUIDITY_RISK_MODERATE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,CURRENT
snapshot_20260612_112532+0000,2026-06-12T11:25:32+00:00,VTP,Tổng Công ty Cổ phần Bưu chính Viettel,Công nghiệp::non_financial,MANUAL_REVIEW,37,True,"[""net_income""]",[],UNKNOWN,INSUFFICIENT_DATA,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,VALUATION_CONTEXT_INSUFFICIENT_DATA,TIMING_RISK_MODERATE|LIQUIDITY_RISK_MODERATE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,CURRENT
snapshot_20260612_112532+0000,2026-06-12T11:25:32+00:00,TLH,Công ty Cổ phần Tập đoàn Thép Tiến Lên,Nguyên vật liệu::non_financial,MANUAL_REVIEW,37,True,"[""net_income""]",[],UNKNOWN,INSUFFICIENT_DATA,SHADOW_CONDITIONAL_DIAGNOSTIC_ONLY,VALUATION_CONTEXT_INSUFFICIENT_DATA,TIMING_RISK_MODERATE|LIQUIDITY_RISK_MODERATE,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,CURRENT
