metric_name,current_value,previous_value,change,trend_direction,interpretation,confidence,manual_review_required
unresolved_field_count,13,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,insufficient_history,insufficient_history,LOW,True
rows_with_unresolved_fields,13,INSUFFICIENT_HISTORY,INSUFFICIENT_HISTORY,insufficient_history,insufficient_history,LOW,True
